archetype                                D_poke  D_trainer  candA(=Dpoke)   candB1    lift
1_elite_poke_no_trainer                   51.37     n/a(0)          51.37    51.37   0.000
2_weak_poke_elite_trainer                  9.31      37.76           9.31    14.45   5.137
3_elite_poke_elite_trainer                36.40      26.45          36.40    38.92   2.523
4_weak_poke_many_mediocre_trainer          7.15      65.15           7.15    16.22   9.074
5_one_elite_trainer_only                   0.00      15.21           0.00     2.28   2.281
6_many_neutral_trainer                    10.00      10.58          10.00    11.43   1.428
7_trainer_heavy_historical                13.17      30.04          13.17    17.08   3.913
8_functional_heavy_modern                 20.01       7.18          20.01    20.87   0.862
9_poke_only_vintage                       38.85     n/a(0)          38.85    38.85   0.000
10_duplicated_poke_printings              13.85     n/a(0)          13.85    13.85   0.000
11_duplicated_trainer_printings           10.00      13.02          10.00    11.76   1.757
12_mixed_multi_subject                    21.88      10.00          21.88    23.05   1.172
