benchmark_row_id,partition,canonical_card_id,card_variant_id,target_card_name,target_set_name,target_card_number,target_treatment,listing_item_id,listing_title,category_id,condition,condition_id,localized_aspects_json,buying_options_json,seller_id,image_url,item_url,observed_at
D3-2D9DF8886200F326,D3_BLIND_REVIEW,a3d56338-1f3f-4b99-8920-5d71b8b85737,66f1f173-3a34-44b4-95a3-d0031fa9d3ee,Pikachu ex,Surging Sparks,247,hyper_rare_gold,v1|188828967066|0,Pikachu ex 247/191 Hyper Rare Gold Secret Surging Sparks,,Ungraded,4000,[],"[""FIXED_PRICE""]",am562-21,https://i.ebayimg.com/images/g/ZOsAAeSwmX1qiSdT/s-l225.jpg,https://www.ebay.com/itm/188828967066?_skw=Pikachu+ex+247+Surging+Sparks+Pokemon+card&hash=item2bf715609a:g:ZOsAAeSwmX1qiSdT,2026-09-12T23:42:48.395762+00:00
D3-DEDA966465B781C0,D3_BLIND_REVIEW,3baf2f12-759f-427a-b8d0-2511e639310f,886acc91-d523-4628-bb4a-6ef8db1d8543,Mega Gardevoir ex,Mega Evolution,187,mega_hyper_rare,v1|800006846770|0,"2025 Pokemon - Mega Gardevoir ex 187/132 Me01: Mega Evolution - TAG 9, SCORE 914",,Graded,2750,[],"[""FIXED_PRICE""]",kalmfe,https://i.ebayimg.com/images/g/SgUAAeSwYudqAlVn/s-l225.jpg,https://www.ebay.com/itm/800006846770?_skw=Mega+Gardevoir+ex+187+Mega+Evolution+Pokemon+card&hash=itemba441fb932:g:SgUAAeSwYudqAlVn,2026-09-12T23:42:48.395762+00:00
D3-4BA8443228C69F4B,D3_BLIND_REVIEW,bf928dd7-24bc-4e16-bb5e-afb8122c3241,311abf3f-15cb-4cb8-995f-1937555c4bdd,Fidough,Scarlet and Violet Base Set,213,illustration_rare,v1|287582098886|0,Pokémon TCG Fidough 213/198 I.R. Scarlet & Violet Base Set Mint Condition,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",add2thafuncollectibles,https://i.ebayimg.com/images/g/V5YAAeSw~n5qpTzo/s-l225.jpg,https://www.ebay.com/itm/287582098886?_skw=Fidough+213+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item42f53a95c6:g:V5YAAeSw~n5qpTzo,2026-09-12T23:42:48.395762+00:00
D3-6BC0F7E2D3393822,D3_BLIND_REVIEW,75720435-3807-46b6-b3da-5e1c53b77822,9ad0c133-f133-45ab-9b3f-494199354e20,Mega Darkrai ex,Pitch Black,116,special_illustration_rare,v1|820079077859|0,Mega Darkrai ex 116/084 - Special Illustration Rare SIR Pitch Black Pokemon NM,,Ungraded,4000,[],"[""FIXED_PRICE""]",thewildcardcollective,https://i.ebayimg.com/images/g/B5AAAeSwO19qnzyW/s-l225.jpg,https://www.ebay.com/itm/820079077859?_skw=Mega+Darkrai+ex+116+Pitch+Black+Pokemon+card&hash=itembef085a9e3:g:B5AAAeSwO19qnzyW,2026-09-12T23:42:48.395762+00:00
D3-3AD642483F8ACBB6,D3_BLIND_REVIEW,b620ec1c-c0ac-4e7e-919d-a7df98bcb84b,8af678f4-09f0-486c-9617-b56896ebeea0,Zweilous,White Flare,147,illustration_rare,v1|178302680557|0,Pokemon TCG Zweilous 147/086 White Flare Illustration Rare Nm,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",artyverse,https://i.ebayimg.com/images/g/sMsAAeSwsFZqUnVR/s-l225.jpg,https://www.ebay.com/itm/178302680557?_skw=Zweilous+147+White+Flare+Pokemon+card&hash=item2983aafded:g:sMsAAeSwsFZqUnVR,2026-09-12T23:42:48.395762+00:00
D3-626E5C138A43FAEC,D3_BLIND_REVIEW,b547c5c3-7082-4a7f-9290-3d569b91b462,2c272732-fdb3-4639-aa6b-ea9fa3ad9c24,Team Rocket's Giovanni,Destined Rivals,225,ultra_rare,v1|178311389370|0,Pokémon TCG-Team Rocket’s Giovanni 225/182 Ultra Rare Full Art- Destined Rivals ,,Ungraded,4000,[],"[""FIXED_PRICE""]",all-starsupply,https://i.ebayimg.com/images/g/RVgAAeSwf79qVsqN/s-l225.jpg,https://www.ebay.com/itm/178311389370?_skw=Team+Rocket%27s+Giovanni+225+Destined+Rivals+Pokemon+card&hash=item29842fe0ba:g:RVgAAeSwf79qVsqN,2026-09-12T23:42:48.395762+00:00
D3-F71FC26A5BDB137F,D3_BLIND_REVIEW,d09b2fb5-41b6-4d1e-88cf-629402434501,efae0727-f8c2-48c5-a33e-c308be0d288d,Roaring Moon ex,Prismatic Evolutions,162,special_illustration_rare,v1|297729531027|0,Pokémon TCG NM Roaring Moon Sir Prismatic Evolutions Card RAW NEW #162/131,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",1gooditem,https://i.ebayimg.com/images/g/MuUAAeSwrfZpBuaM/s-l225.jpg,https://www.ebay.com/itm/297729531027?_skw=Roaring+Moon+ex+162+Prismatic+Evolutions+Pokemon+card&hash=item4552101c93:g:MuUAAeSwrfZpBuaM,2026-09-12T23:42:48.395762+00:00
D3-6A1BE1D7C2E6D663,D3_BLIND_REVIEW,2a67a99c-dbba-4c41-846c-39ed4659c916,dfda2049-d87b-4be0-ad51-dcc005688d93,Grubbin,Temporal Forces,18,common,v1|327067027033|0,135PK018r - Grubbin - 18/162- Temporal Force -(TEF)- Common Reverse,,Ungraded,4000,[],"[""FIXED_PRICE""]",eta_1964,https://i.ebayimg.com/images/g/KxMAAeSwkcppw3ez/s-l225.jpg,https://www.ebay.com/itm/327067027033?_skw=Grubbin+18+Temporal+Forces+Pokemon+card&hash=item4c26b6c659:g:KxMAAeSwkcppw3ez,2026-09-12T23:42:48.395762+00:00
D3-E6AB929591453BDD,D3_BLIND_REVIEW,301185dd-2bde-4699-80bd-8b2a3cfd8f7f,af28bc66-9c8b-4dbb-bf83-fa6215bd26f0,Pikachu ex,Ascended Heroes,276,special_illustration_rare,v1|168680782536|0,Pikachu ex Holo Special Illustration Rare ME: Ascended Heroes 276/217 NM,,Ungraded,4000,[],"[""FIXED_PRICE""]",deepscards,https://i.ebayimg.com/images/g/bWkAAeSw-M1qo~lf/s-l225.jpg,https://www.ebay.com/itm/168680782536?_skw=Pikachu+ex+276+Ascended+Heroes+Pokemon+card&hash=item2746287ac8:g:bWkAAeSw-M1qo~lf,2026-09-12T23:42:48.395762+00:00
D3-14528F4C6728720A,D3_BLIND_REVIEW,828c0d0d-2ede-4bab-bed4-407cd3cf8662,06c45a41-2b44-401a-9703-5c9952f2580f,Mega Gengar ex,Ascended Heroes,284,special_illustration_rare,v1|407154004659|0,Pokémon 2026 Mega Gengar Ex 284/217 SIR Ascended Heroes,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",bashnico7676,https://i.ebayimg.com/images/g/TeYAAeSwskFqhJi6/s-l225.jpg,https://www.ebay.com/itm/407154004659?_skw=Mega+Gengar+ex+284+Ascended+Heroes+Pokemon+card&hash=item5ecc4512b3:g:TeYAAeSwskFqhJi6&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGZJ3Xp5BqPWfh%2B6mR5aBFD6nrrY5NLQUfgkJjddJEAAI2WHReDhlrx0%2Fw85r%2Bf3i14XdIOjcDmUPElWrzqfOuRj4Upbke9DxJ6%2FTooIei2YHVps5YT%2BR8PZL6TAaLgGpXXzBWPAmb6Z%2FocJjKNPPfToekEblcQwdNnykgSW%2BAzrbsB5cGCOAc8lmHBPcC%2BxjH0P5ROuA9S9rUatLBeEdL1UORx3cMXgy0y9GEwTeF%2Bd5p9akG3aAUogX1%2BuCm%2B028DAqcE4okuDHCJwJMnUoOn4SdzPDe7QxFrl0ePmdYKAbL8XL%2BjvH6G83x7rbJ8SoLLUukYp1av0Mq2K02vu8Nnr,2026-09-12T23:42:48.395762+00:00
