benchmark_row_id,partition,canonical_card_id,card_variant_id,target_card_name,target_set_name,target_card_number,target_treatment,listing_item_id,listing_title,category_id,condition,condition_id,localized_aspects_json,buying_options_json,seller_id,image_url,item_url,observed_at
D3-740C89E0B368F14F,COVERAGE_BLIND,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,v1|177689900792|0,Penny Scarlet & Violet Base Set 183/198 Regular Uncommon - Pokemon TCG CCG NM,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",arksellerguy,https://i.ebayimg.com/images/g/h~MAAeSwD39pRZ2h/s-l225.jpg,https://www.ebay.com/itm/177689900792?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item295f24b6f8:g:h~MAAeSwD39pRZ2h,2026-09-12T23:42:48.395762+00:00
D3-632410AFB3A3E752,COVERAGE_BLIND,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,v1|327335278225|0,Penny Holo Ultra Rare SV01: Scarlet & Violet Base Set 239/198 LP,,Ungraded,4000,[],"[""FIXED_PRICE""]",kamboslice23,https://i.ebayimg.com/images/g/OkAAAeSwOCtqlcHs/s-l225.jpg,https://www.ebay.com/itm/327335278225?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item4c36b3f691:g:OkAAAeSwOCtqlcHs,2026-09-12T23:42:48.395762+00:00
D3-90AB2F3D83D1C452,COVERAGE_BLIND,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,v1|327015979969|0,Pokemon Penny 252/198 Base Set Scarlet & Violet Special Illustration Rare NM,,Ungraded,4000,[],"[""FIXED_PRICE""]",spheregrid,https://i.ebayimg.com/images/g/ejMAAeSwb5ZpnQ56/s-l225.jpg,https://www.ebay.com/itm/327015979969?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item4c23abdbc1:g:ejMAAeSwb5ZpnQ56,2026-09-12T23:42:48.395762+00:00
D3-3E5C91C3E70028C0,COVERAGE_BLIND,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,v1|137730013337|0,Penny - 183/198 - Reverse Holofoil - Scarlet & Violet Base Set - NM,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",pokelolocollect,https://i.ebayimg.com/images/g/WrQAAeSw2aZqpcfN/s-l225.jpg,https://www.ebay.com/itm/137730013337?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item2011593899:g:WrQAAeSw2aZqpcfN,2026-09-12T23:42:48.395762+00:00
D3-0FE02862E25EE4F7,COVERAGE_BLIND,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,v1|820036613376|0,Penny Holo 252/198 Special Illustration Rare Scarlet & Violet Pokemon NM,,Ungraded,4000,[],"[""FIXED_PRICE""]",nextgencollect,https://i.ebayimg.com/images/g/mnAAAeSwOCtqimDX/s-l225.jpg,https://www.ebay.com/itm/820036613376?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=itembeedfdb500:g:mnAAAeSwOCtqimDX,2026-09-12T23:42:48.395762+00:00
D3-2FB4855FABDFC8AB,COVERAGE_BLIND,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,v1|307086000182|0,Penny 252/198 SV01: Scarlet & Violet Base Set Holo,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",mr.ecollectibles,https://i.ebayimg.com/images/g/RFYAAeSw2OhqZQpI/s-l225.jpg,https://www.ebay.com/itm/307086000182?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item477fc08036:g:RFYAAeSw2OhqZQpI,2026-09-12T23:42:48.395762+00:00
D3-EC13A68BC26542D6,COVERAGE_BLIND,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,v1|188871391804|0,Trubbish 140/086 WHT NM White Flare Illustration Rare Holo Pokemon Oswaldo KATO,,Ungraded,4000,[],"[""FIXED_PRICE""]",chasingfireco,https://i.ebayimg.com/images/g/qKwAAeSwKf5qlvE2/s-l225.jpg,https://www.ebay.com/itm/188871391804?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item2bf99cba3c:g:qKwAAeSwKf5qlvE2,2026-09-12T23:42:48.395762+00:00
D3-F82B29A9B49F0515,COVERAGE_BLIND,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,v1|800406719783|0,Trubbish 140/086 Reverse Holo Common 70 HP English Pokemon TCG White Flare,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",bra_686822,https://i.ebayimg.com/images/g/SSIAAeSwnQxqZPhl/s-l225.jpg,https://www.ebay.com/itm/800406719783?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=itemba5bf54d27:g:SSIAAeSwnQxqZPhl,2026-09-12T23:42:48.395762+00:00
D3-A5268503785F0F1C,COVERAGE_BLIND,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,v1|820025479952|0,Trubbish Illustration Rare SV: White Flare 140/086 NM,,Ungraded,4000,[],"[""FIXED_PRICE""]",poke_mom_jdbhobby,https://i.ebayimg.com/images/g/-P4AAeSwptdqhoha/s-l225.jpg,https://www.ebay.com/itm/820025479952?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=itembeed53d310:g:-P4AAeSwptdqhoha,2026-09-12T23:42:48.395762+00:00
D3-7C550043269A2525,COVERAGE_BLIND,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,v1|158137688212|0,Pokémon White Flare 140/086 Trubbish Illustration Rare Holo M/NM,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",bmc_games,https://i.ebayimg.com/images/g/v0oAAeSwINxqbCzd/s-l225.jpg,https://www.ebay.com/itm/158137688212?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item24d1bda094:g:v0oAAeSwINxqbCzd,2026-09-12T23:42:48.395762+00:00
D3-2DB18F6F944B2150,COVERAGE_BLIND,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,v1|398189903354|0,Trubbish 140/086 White Flare Holo Near Mint Oswaldo KATO Pokemon TCG,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",the_hustling_pokepreneur,https://i.ebayimg.com/images/g/35AAAeSwqNVqXBpD/s-l225.jpg,https://www.ebay.com/itm/398189903354?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item5cb5f7bdfa:g:35AAAeSwqNVqXBpD&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGbL9ANTPlkQ6Y8uwOizMk1mhe5sZoVnoSo9BZDFStEaHnZkDaeoRffWuWCAJllgUW91ps75bia4AxbJE7Nyy%2F%2BI5nuByxeTpiyR%2BJmZ7jj%2Br1GXlADjvzQ6eIG8Wg1oJJxZuXoLMSKVPrgObuIyBdmVM9CIq%2BLAt4hfqS6%2F5pNavblCMBeO4ImwkNefqKyCboaJFExDHSvDz6ceqhj4xKGeTEhoQHUoHNcjoYgBLeg7%2FCSFFfB6BtRpcDi4Wzvze0UTRCjpdD1AmO4P10jk4bfugDPBmsQp5ZY6G%2Flc7sXlFBgvgGf%2BBamzQhnoBmb%2Bq%2Fc%3D,2026-09-12T23:42:48.395762+00:00
D3-EE9F34180FA19F1D,COVERAGE_BLIND,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,v1|406862153481|0,Pokémon TCG Garbodor Art Rare Holo SV11W White Flare 139/086 Korean HP140,,Ungraded,4000,[],"[""FIXED_PRICE""]",gnarlypanda,https://i.ebayimg.com/images/g/oicAAeSw3Hxp4R5s/s-l225.jpg,https://www.ebay.com/itm/406862153481?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item5ebadfc709:g:oicAAeSw3Hxp4R5s,2026-09-12T23:42:48.395762+00:00
D3-D356D74557CA0229,COVERAGE_BLIND,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,v1|298565099818|0,Pokémon TCG Haxorus 147/086 Black Bolt 2025 Illustration Rare Foil TAG 9,,Graded,2750,[],"[""FIXED_PRICE"",""BEST_OFFER""]",tygrel,https://i.ebayimg.com/images/g/W-4AAeSw7DdqdPFQ/s-l225.jpg,https://www.ebay.com/itm/298565099818?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=item4583dde12a:g:W-4AAeSw7DdqdPFQ,2026-09-12T23:42:48.395762+00:00
D3-C97042E22142EDC3,COVERAGE_BLIND,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,v1|298645869303|0,Haxorus 147/086 Sv: Black Bolt Illus Rare Holo Eng 170 HP NEAR MINT,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",nichmoj-0,https://i.ebayimg.com/images/g/rJ4AAeSwxKZqmzh5/s-l225.jpg,https://www.ebay.com/itm/298645869303?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=item4588ae52f7:g:rJ4AAeSwxKZqmzh5,2026-09-12T23:42:48.395762+00:00
D3-5863B1137CC93EC8,COVERAGE_BLIND,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,v1|406996586152|0,2025 Pokemon—Haxorus #147/086 Black Bolt—Illustration Rare Holo,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",papajoeyscollectibles,https://i.ebayimg.com/images/g/2GoAAeSwd4xqn2oj/s-l225.jpg,https://www.ebay.com/itm/406996586152?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=item5ec2e30ea8:g:2GoAAeSwd4xqn2oj,2026-09-12T23:42:48.395762+00:00
D3-BFD73727678B1056,COVERAGE_BLIND,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,v1|800573529260|0,Haxorus 147/086 Sv: Black Bolt Illustration Rare,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",r443sh,https://i.ebayimg.com/images/g/qQwAAeSwrj5qkTiF/s-l225.jpg,https://www.ebay.com/itm/800573529260?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=itemba65e69cac:g:qQwAAeSwrj5qkTiF,2026-09-12T23:42:48.395762+00:00
D3-CD594048B7E8CC4B,COVERAGE_BLIND,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,v1|227461751016|0,▸ Haxorus | SV: Black Bolt | Illustration Rare | 147/086 | NM,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",startninetcg,https://i.ebayimg.com/images/g/bVgAAeSwC~Zqcelh/s-l225.jpg,https://www.ebay.com/itm/227461751016?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=item34f5c6e0e8:g:bVgAAeSwC~Zqcelh,2026-09-12T23:42:48.395762+00:00
D3-2DCF226A15725946,COVERAGE_BLIND,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,v1|820035088585|0,2025 Black Bolt Haxorus IR#147/86,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",thecardshop518,https://i.ebayimg.com/images/g/LVsAAeSwrd5qidMF/s-l225.jpg,https://www.ebay.com/itm/820035088585?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=itembeede670c9:g:LVsAAeSwrd5qidMF,2026-09-12T23:42:48.395762+00:00
