benchmark_row_id,partition,canonical_card_id,card_variant_id,target_card_name,target_set_name,target_card_number,target_treatment,listing_item_id,listing_title,category_id,condition,condition_id,localized_aspects_json,buying_options_json,seller_id,image_url,item_url,observed_at
D3-E3D8A8735EC324DF,PRECISION_BLIND,21e9ddc5-2751-4886-9e08-a1c6e2cc14e4,53abbd65-a601-4185-b08c-3721e963fa3d,Kyurem ex,Black Bolt,165,special_illustration_rare,v1|198497752840|0,Pokemon TCG Kyurem ex SV Black Bolt 165/086 Special Illustration Rare Holo EN,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",2girls170,https://i.ebayimg.com/images/g/hYoAAeSwNRxqVoXP/s-l225.jpg,https://www.ebay.com/itm/198497752840?_skw=Kyurem+ex+165+Black+Bolt+Pokemon+card&hash=item2e37635708:g:hYoAAeSwNRxqVoXP,2026-09-12T23:42:48.395762+00:00
D3-F7121A2D28C075DC,PRECISION_BLIND,301185dd-2bde-4699-80bd-8b2a3cfd8f7f,af28bc66-9c8b-4dbb-bf83-fa6215bd26f0,Pikachu ex,Ascended Heroes,276,special_illustration_rare,v1|318826606297|0,Pikachu ex 276/217 Me: Ascended Heroes Holo NM Fresh out of Pack,,Ungraded,4000,[],"[""FIXED_PRICE""]",2fst4u2c,https://i.ebayimg.com/images/g/xG4AAeSwicFqlmjt/s-l225.jpg,https://www.ebay.com/itm/318826606297?_skw=Pikachu+ex+276+Ascended+Heroes+Pokemon+card&hash=item4a3b8beed9:g:xG4AAeSwicFqlmjt,2026-09-12T23:42:48.395762+00:00
D3-9A65521FBAA79EE0,PRECISION_BLIND,b801a524-e703-4f4c-ad99-1ec742cf30ec,586dac04-6254-4241-b628-b6d3dac61063,Bianca's Devotion,Temporal Forces,209,special_illustration_rare,v1|377423068040|0,2024 Pokémon SV05: Temporal Forces Bianca's Devotion - #209 SIR NM,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",2shaecollectibles,https://i.ebayimg.com/images/g/VrgAAeSwtEFqgc~B/s-l225.jpg,https://www.ebay.com/itm/377423068040?_skw=Bianca%27s+Devotion+209+Temporal+Forces+Pokemon+card&hash=item57e02afb88:g:VrgAAeSwtEFqgc~B,2026-09-12T23:42:48.395762+00:00
D3-966E29A4FC761725,PRECISION_BLIND,33dca102-b449-4da6-bfa6-7b72de711596,c2d7a5e7-cfdd-4f37-9748-a2259857c6e3,Charizard ex,Paldean Fates,234,special_illustration_rare,v1|298482459704|0,Charizard EX Holo Card 234/091 SV Paldean Fates LP Pokemon TCG English,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",1upgamesga,https://i.ebayimg.com/images/g/H6wAAeSwwHZqSsJw/s-l225.jpg,https://www.ebay.com/itm/298482459704?_skw=Charizard+ex+234+Paldean+Fates+Pokemon+card&hash=item457ef0e438:g:H6wAAeSwwHZqSsJw,2026-09-12T23:42:48.395762+00:00
D3-782F4123D824D08C,PRECISION_BLIND,3c75f577-62ee-4bdf-865c-ab2384f4379b,ecf458ed-ed92-4f04-bf27-1912d59bdbc0,Mega Charizard Y ex,Ascended Heroes,294,mega_hyper_rare,v1|318748522504|0,Mega Charizard Y ex #294 Pokemon Ascended Heroes,,Ungraded,4000,[],"[""FIXED_PRICE""]",1824s_427,https://i.ebayimg.com/images/g/UQkAAeSwHQBp-MHw/s-l225.jpg,https://www.ebay.com/itm/318748522504?_skw=Mega+Charizard+Y+ex+294+Ascended+Heroes+Pokemon+card&hash=item4a36e47808:g:UQkAAeSwHQBp-MHw,2026-09-12T23:42:48.395762+00:00
D3-B9AA555EBD66AC67,PRECISION_BLIND,147a436d-4ccc-43d1-b19a-20b74d2ff723,a86eb8d9-0e89-4e02-879a-d587dbfe0252,Carmine,Twilight Masquerade,217,special_illustration_rare,v1|267581212188|0,Carmine Special Illustration Rare - 217/167 - Twilight Masquerade 2024,,Ungraded,4000,[],"[""FIXED_PRICE""]",14ksole,https://i.ebayimg.com/images/g/KTEAAeSwqhppl~Fc/s-l225.jpg,https://www.ebay.com/itm/267581212188?_skw=Carmine+217+Twilight+Masquerade+Pokemon+card&hash=item3e4d15461c:g:KTEAAeSwqhppl~Fc,2026-09-12T23:42:48.395762+00:00
D3-CEFA627F8BE0ED78,PRECISION_BLIND,d12a209b-06a3-4b46-82d3-a374e6bbe7b4,d0d523dc-3f95-4bbc-beb6-75b3d2a15cae,Grafaiai,Paldea Evolved,223,illustration_rare,v1|800491614490|0,"Grafaiai, Paldea Evolved 223/193 IR, NM",,Ungraded,4000,[],"[""FIXED_PRICE""]",562cilla650,https://i.ebayimg.com/images/g/fT4AAeSw5glqeotk/s-l225.jpg,https://www.ebay.com/itm/800491614490?_skw=Grafaiai+223+Paldea+Evolved+Pokemon+card&hash=itemba6104b11a:g:fT4AAeSw5glqeotk,2026-09-12T23:42:48.395762+00:00
D3-CEC6C461018DB7FD,PRECISION_BLIND,4299cd6b-98e3-4e65-865f-26a39b19fe5b,041717c6-a2b6-40d1-867a-b1abb1d65ec8,Durant ex,Surging Sparks,236,special_illustration_rare,v1|306899204021|0,Durant EX 236/191 Surging Sparks,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",831alex,https://i.ebayimg.com/images/g/RDcAAeSwtZBp6qy5/s-l225.jpg,https://www.ebay.com/itm/306899204021?_skw=Durant+ex+236+Surging+Sparks+Pokemon+card&hash=item47749e37b5:g:RDcAAeSwtZBp6qy5,2026-09-12T23:42:48.395762+00:00
D3-60E3C9140A40342E,PRECISION_BLIND,152906c9-3b9f-4f16-bb22-cb4241c7386b,20ddd5ca-77ef-4e3c-a018-ea4c7a44913a,Giovanni's Charisma,Scarlet and Violet 151,204,special_illustration_rare,v1|236925471444|0,2023 Pokemon Scarlet and Violet 151 #204 Giovanni's Charisma SIR - NM-MT,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",1967dew,https://i.ebayimg.com/images/g/z58AAeSw38VqTpdj/s-l225.jpg,https://www.ebay.com/itm/236925471444?_skw=Giovanni%27s+Charisma+204+Scarlet+and+Violet+151+Pokemon+card&hash=item3729dbcad4:g:z58AAeSw38VqTpdj,2026-09-12T23:42:48.395762+00:00
D3-73A98383460061F1,PRECISION_BLIND,64c0404b-826f-493d-9c10-738b2b56eca4,9f6c24f7-6a76-471f-ad81-d3901c5e9088,Mega Audino ex,Ascended Heroes,253,ultra_rare,v1|178489483094|0,MEGA AUDINO EX 253/217 UR ASCENDED HEROES POKEMON HOLO NM/M HOLO,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",2sick_tcg,https://i.ebayimg.com/images/g/rHEAAeSwVbhqpPwk/s-l225.jpg,https://www.ebay.com/itm/178489483094?_skw=Mega+Audino+ex+253+Ascended+Heroes+Pokemon+card&hash=item298ecd5f56:g:rHEAAeSwVbhqpPwk,2026-09-12T23:42:48.395762+00:00
