benchmark_row_id,listing_item_id,item_url,listing_title,condition,condition_id,category_id,buying_options_json,seller_id,image_url,canonical_card_id,card_variant_id,target_card_name,target_set_name,target_card_number,target_treatment,exact_match_yes_no_uncertain,single_card_or_lot,raw_or_graded,card_or_sealed_nonshcard,collector_number_consistency,set_consistency,language,variant_treatment,reviewer_id,label_timestamp,review_note,adjudicated_result
D4-0000,v1|227405058099|0,https://www.ebay.com/itm/227405058099?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item34f265d033:g:rIMAAeSwubhqPtBz,Penny  Pokemon Scarlet & Violet Base Set 252/198 Special Illustration Near Mint+,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",drewscollectiblesllc,https://i.ebayimg.com/images/g/rIMAAeSwubhqPtBz/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:12.847553+00:00,,
D4-0001,v1|318844145897|0,https://www.ebay.com/itm/318844145897?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item4a3c9790e9:g:8A4AAeSwgyJqoC9r,Penny 239/198 SV01: Scarlet & Violet Base Set Holo,Ungraded,4000,,"[""FIXED_PRICE""]",gzscollectables,https://i.ebayimg.com/images/g/8A4AAeSwgyJqoC9r/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,NO,SINGLE_CARD,RAW,CARD,INCONSISTENT,,,,Donny,2026-09-14T00:11:15.022625+00:00,,
D4-0002,v1|178316183591|0,https://www.ebay.com/itm/178316183591?_skw=Penny+252+Scarlet+and+Violet+Base+Set&hash=item2984790827:g:pwAAAeSwgm9qWO9y,Penny 252/198 SV01: Scarlet & Violet Base Set Holo,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",eternalgames2700,https://i.ebayimg.com/images/g/pwAAAeSwgm9qWO9y/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:17.239407+00:00,,
D4-0003,v1|800624424699|0,https://www.ebay.com/itm/800624424699?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=itemba68ef36fb:g:S5cAAeSwijdqi81H,Pokemon TCG Penny 252/198 SV01: Scarlet & Violet Base Set Full Art Holo English,Ungraded,4000,,"[""AUCTION"", ""BEST_OFFER""]",mo558941,https://i.ebayimg.com/images/g/S5cAAeSwijdqi81H/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:18.780675+00:00,,
D4-0004,v1|397601382143|0,https://www.ebay.com/itm/397601382143?_skw=Penny+252+Scarlet+and+Violet+Base+Set&hash=item5c92e39eff:g:8P8AAeSwbmhpjkk7,Penny 183/198 Scarlet And Violet Base Set Reverse Holo,Ungraded,4000,,"[""FIXED_PRICE""]",shape9253,https://i.ebayimg.com/images/g/8P8AAeSwbmhpjkk7/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,NO,SINGLE_CARD,RAW,CARD,INCONSISTENT,,,,Donny,2026-09-14T00:11:20.495482+00:00,,
D4-0005,v1|157448093015|0,https://www.ebay.com/itm/157448093015?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item24a8a33d57:g:kNkAAeSw~M1pDmWj,Pokemon TCG Scarlet & Violet Base Penny 252/198 Special Illustration Rare Card,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",tubeztcg,https://i.ebayimg.com/images/g/kNkAAeSw~M1pDmWj/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:21.656724+00:00,,
D4-0006,v1|178491448709|0,https://www.ebay.com/itm/178491448709?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item298eeb5d85:g:eHsAAeSwqn9qnjWh,Trubbish Pokemon WHT White Flare 140/086 Illustration Rare Full Art NM KATO,Ungraded,4000,,"[""FIXED_PRICE""]",void*tcg,https://i.ebayimg.com/images/g/eHsAAeSwqn9qnjWh/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:23.810748+00:00,,
D4-0007,v1|128068123653|0,https://www.ebay.com/itm/128068123653?_skw=Trubbish+140+White+Flare&hash=item1dd1747c05:g:Js8AAeSwBsNqn4QH,Pokémon Trubbish 140/086 Sv: White Flare Holo Illustration Rare ENG,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",goldendesertcardco,https://i.ebayimg.com/images/g/Js8AAeSwBsNqn4QH/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:24.396634+00:00,,
D4-0008,v1|188757686190|0,https://www.ebay.com/itm/188757686190?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item2bf2d5b7ae:g:XCsAAeSwazxqdhwy,Trubbish 140/086 NM White Flare Pokemon Card illustration Rare Pack Fresh,Ungraded,4000,,"[""FIXED_PRICE""]",pokemonbuyandsell,https://i.ebayimg.com/images/g/XCsAAeSwazxqdhwy/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:25.782122+00:00,,
D4-0009,v1|398358435736|0,https://www.ebay.com/itm/398358435736?_skw=Trubbish+140+White+Flare&hash=item5cc0035798:g:~1MAAeSwmX1qmrL9,Trubbish 140/086 SV: White Flare Holofoil Pokemon Near Mint,Ungraded,4000,,"[""FIXED_PRICE""]",nightly_tcg,https://i.ebayimg.com/images/g/~1MAAeSwmX1qmrL9/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:26.422407+00:00,,
D4-0010,v1|307111723765|0,https://www.ebay.com/itm/307111723765?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item47814902f5:g:DwYAAeSwa4FqdQyr,Pokemon TCG Trubbish 140/086 Sv: White Flare Illustration Rare Full Art Holo,Ungraded,4000,,"[""FIXED_PRICE""]",ry-900091,https://i.ebayimg.com/images/g/DwYAAeSwa4FqdQyr/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:27.236373+00:00,,
D4-0011,v1|318836234631|0,https://www.ebay.com/itm/318836234631?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item4a3c1ed987:g:7A8AAeSwEjtqnhIv,Trubbish 140/086 Illustration Rare White Flare Pokemon Holo Near Mint,Ungraded,4000,,"[""FIXED_PRICE""]",degencardboardllc,https://i.ebayimg.com/images/g/7A8AAeSwEjtqnhIv/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:28.428020+00:00,,
D4-0012,v1|407105243222|0,https://www.ebay.com/itm/407105243222?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=item5ec95d0856:g:~rAAAeSw75ZqaXf9,Haxorus 147/086 Sv: Black Bolt Holo Illustration Rare,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",veefamcards,https://i.ebayimg.com/images/g/~rAAAeSw75ZqaXf9/s-l225.jpg,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:29.328033+00:00,,
D4-0013,v1|307138517456|0,https://www.ebay.com/itm/307138517456?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=item4782e1d9d0:g:FeYAAeSw5Rdqh9S~&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGYEXiYuHs%2BpUbn5dPodH0dl9VSPa%2B3Qe4rc4kiDOBWMFzf6tMGLDqm8vsJVSN%2FTlDR2wjpt6f2abtEOEgbYu0M1uVGgG6ubnAJrXUvh%2F2V8HQBPv7ug4YpTlQsCw%2F26H87AoKrrN%2BUqnWs%2BAk4myTrtAllOJmQ58iNpuDeFWYGUmHWpRI3PpwLCbeObGwgyMJnbMPOnPWkk0US5VE5NLPAwefjCzW%2BepafxfhecZPnOZs9Q1AjUDBHA1tnNG0oOmrwdOIfXYxgOwDTROP1ED7Vg6TwqgFjKb9wnPSU7Lq78vHXxyJP51d%2BumAN7ztaUqWA%3D,Pokémon - Haxorus 147/086 (Illustration Rare) - NM sv10.5: Black Bolt,Ungraded,4000,,"[""FIXED_PRICE""]",collectorsvaultok,https://i.ebayimg.com/images/g/FeYAAeSw5Rdqh9S~/s-l225.jpg,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:30.336107+00:00,,
D4-0014,v1|298651078903|0,https://www.ebay.com/itm/298651078903?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=item4588fdd0f7:g:xKMAAeSwS7ZqnZnc,2025 POKEMON BLK EN-BLACK BOLT ILLUSTRATION RARE #147 HAXORUS PSA 10,Graded,2750,,"[""FIXED_PRICE"", ""BEST_OFFER""]",psa,https://i.ebayimg.com/images/g/xKMAAeSwS7ZqnZnc/s-l225.jpg,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,NO,SINGLE_CARD,GRADED,CARD,,,,,Donny,2026-09-14T00:11:32.076890+00:00,,
D4-0015,v1|358875439391|0,https://www.ebay.com/itm/358875439391?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=item538ea4a11f:g:X~MAAeSwlslqb41g,Haxorus Holo Illustration Rare SV: Black Bolt 147/086 NM,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",xcellencesftcg,https://i.ebayimg.com/images/g/X~MAAeSwlslqb41g/s-l225.jpg,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:34.227550+00:00,,
D4-0016,v1|820076027739|0,https://www.ebay.com/itm/820076027739?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=itembef0571f5b:g:KqAAAeSwxFVql3xo,Haxorus Black Bolt Illustration Card 147/086 Mint/Near Mint Condition,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",hobbyxhunter,https://i.ebayimg.com/images/g/KqAAAeSwxFVql3xo/s-l225.jpg,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:34.917944+00:00,,
D4-0017,v1|366622781523|0,https://www.ebay.com/itm/366622781523?_skw=Haxorus+147+Black+Bolt+Pokemon+card&hash=item555c6bb053:g:1eYAAeSwWaNqigHK,Haxorus 147/086 (NM) - SV: Black Bolt - Illustration Rare - Pokemon TCG,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",thetcgcollections,https://i.ebayimg.com/images/g/1eYAAeSwWaNqigHK/s-l225.jpg,0b81872e-b089-49e9-aec3-16a535b12efb,0057b67c-a140-400c-b308-2a6d046cb043,Haxorus,Black Bolt,147,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:35.524558+00:00,,
D4-0018,v1|298400665390|0,https://www.ebay.com/itm/298400665390?_skw=Tinkatuff+166+Paldean+Fates+Pokemon+card&hash=item457a10cf2e:g:12kAAeSw~nRqKJXy,Tinkatuff 166/091 Shiny Rare Paldean Fates Pokemon Near Mint,Ungraded,4000,,"[""FIXED_PRICE""]",pokealberta,https://i.ebayimg.com/images/g/12kAAeSw~nRqKJXy/s-l225.jpg,0dde3317-5162-49d1-b5c9-6b206a086d2c,7a7c3304-cc14-4aab-9f7b-b88270d4228c,Tinkatuff,Paldean Fates,166,shiny_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-14T00:11:38.757478+00:00,,
