benchmark_row_id,listing_item_id,item_url,listing_title,condition,condition_id,category_id,buying_options_json,seller_id,image_url,canonical_card_id,card_variant_id,target_card_name,target_set_name,target_card_number,target_treatment,exact_match_yes_no_uncertain,single_card_or_lot,raw_or_graded,card_or_sealed_nonshcard,collector_number_consistency,set_consistency,language,variant_treatment,reviewer_id,label_timestamp,review_note,adjudicated_result
D5-0000,v1|188873902261|0,https://www.ebay.com/itm/188873902261?_skw=Penny+252+Scarlet+and+Violet+Base+Set&hash=item2bf9c308b5:g:EMkAAeSwpyFql6aS,Pokémon TCG Penny SIR- 252/198 - SV01: Scarlet & Violet Base Set (SVI),Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",collectiblesmbb,https://i.ebayimg.com/images/g/EMkAAeSwpyFql6aS/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,,,,,,,,,,,,
D5-0001,v1|287468659950|0,https://www.ebay.com/itm/287468659950?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item42ee77a4ee:g:5-0AAeSwAzZqcnHK,Penny Pokemon SV01: Scarlet & Violet Base Set SVI #252/198 Holo Near Mint,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",myflyisbreeezy,https://i.ebayimg.com/images/g/5-0AAeSwAzZqcnHK/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,,,,,,,,,,,,
D5-0002,v1|820117207018|0,https://www.ebay.com/itm/820117207018?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=itembef2cb77ea:g:tS0AAeSwh4BqpPcG,Penny 252/198 Special Illustration Rare Scarlet & Violet Pokemon Holo Near Mint,Ungraded,4000,,"[""FIXED_PRICE""]",rawrtcg,https://i.ebayimg.com/images/g/tS0AAeSwh4BqpPcG/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,,,,,,,,,,,,
D5-0003,v1|407159217830|0,https://www.ebay.com/itm/407159217830?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item5ecc949ea6:g:5YIAAeSw9fJqh01G,SV01: Scarlet & Violet Base Set #252/198 Penny,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",monstersubiecollectables,https://i.ebayimg.com/images/g/5YIAAeSw9fJqh01G/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,,,,,,,,,,,,
D5-0004,v1|227502402620|0,https://www.ebay.com/itm/227502402620?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item34f8332c3c:g:~ncAAeSwWkZqmAmB,Penny Holo Scarlet & Violet Base Set 252/198 NM Pokemon,Ungraded,4000,,"[""FIXED_PRICE""]",totokyu_trading,https://i.ebayimg.com/images/g/~ncAAeSwWkZqmAmB/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,,,,,,,,,,,,
D5-0005,v1|206444406099|0,https://www.ebay.com/itm/206444406099?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item30110ba553:g:ZecAAeSwx7pqZuBT,Penny 252/198 SV01: Scarlet & Violet Base Set Holo,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",k4ccards,https://i.ebayimg.com/images/g/ZecAAeSwx7pqZuBT/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,,,,,,,,,,,,
D5-0006,v1|366666927875|0,https://www.ebay.com/itm/366666927875?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item555f0d4f03:g:PuEAAeSwo-lqpvdo,Pokemon TCG: Trubbish 140/086 Illustration Rare White Flare NM,Ungraded,4000,,"[""FIXED_PRICE""]",11stars-tcg,https://i.ebayimg.com/images/g/PuEAAeSwo-lqpvdo/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,,,,,,,,,,,,
D5-0007,v1|198608468717|0,https://www.ebay.com/itm/198608468717?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item2e3dfcbaed:g:ktYAAeSwhFRqlbC~,Pokemon SV White Flare Trubbish 140/086 Illustration Rare IR NM,Ungraded,4000,,"[""FIXED_PRICE""]",hobiihouse,https://i.ebayimg.com/images/g/ktYAAeSwhFRqlbC~/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,,,,,,,,,,,,
D5-0008,v1|178396998977|0,https://www.ebay.com/itm/178396998977?_skw=Trubbish+140+White+Flare&hash=item29894a2d41:g:VhsAAeSwaJdqe1wp,Trubbish 140/086 Sv: White Flare Holo Illustration Rare ,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",cskanemedia,https://i.ebayimg.com/images/g/VhsAAeSwaJdqe1wp/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,,,,,,,,,,,,
D5-0009,v1|800514831641|0,https://www.ebay.com/itm/800514831641?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=itemba6266f519:g:1j8AAeSwhP1qgP5B,2025 POKEMON WHT EN-WHITE FLARE ILLUSTRATION RARE 140/086 TRUBBISH - AGS 9.5,Graded,2750,,"[""FIXED_PRICE"", ""BEST_OFFER""]",jdadamssportscards,https://i.ebayimg.com/images/g/1j8AAeSwhP1qgP5B/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,,,,,,,,,,,,
