benchmark_row_id,listing_item_id,item_url,listing_title,condition,condition_id,category_id,buying_options_json,seller_id,image_url,canonical_card_id,card_variant_id,target_card_name,target_set_name,target_card_number,target_treatment,exact_match_yes_no_uncertain,single_card_or_lot,raw_or_graded,card_or_sealed_nonshcard,collector_number_consistency,set_consistency,language,variant_treatment,reviewer_id,label_timestamp,review_note,adjudicated_result
E13-0000,v1|376829402898|0,https://www.ebay.com/itm/376829402898?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item57bcc85f12:g:yA4AAeSwxWlpWEND&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGaq55DBQLCePS0Kv%2FTJfjwKVqJWDPBOW8MdwyzJ7qhqw4Z9kG9D3Hat%2B7XaOS58buclrQMxOMWbWQtzk0vJVv%2F2bfw62ooQ3oeg%2FyIhJmpgmXnyjxfV4lwmD4qKpQmnUABf29SS3Wihm1mMagTxcPwdWaIwubFMiBVj3hODzSHcEe0ZDw2%2BOiyUarGZNhY4eEQEZ9qK%2B0GIdsz%2BGd114uA84ycTUWIeqvE8Oh%2BrAQxZKP%2FruYQd5zvV51B7OTNSTNClFscXLUa67Wd%2F3hk5OMIX6xVQL7rYWKLYbvNoHhmvbHsV9kOLIZRkHNzgNBIz8qaRmQDiU8f8SWJuGM9VtQI1,Penny 239/198 SV01: Scarlet & Violet Base Set Holo,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",happilyhaunteddeals,https://i.ebayimg.com/images/g/yA4AAeSwxWlpWEND/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,NO,SINGLE_CARD,RAW,CARD,INCONSISTENT,,,,Donny,2026-09-16T03:17:54.611349+00:00,,
E13-0001,v1|178378468419|0,https://www.ebay.com/itm/178378468419?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item29882f6c43:g:XDkAAeSw459qc~4-,Penny 252/198 Sv01: Scarlet & Violet Base Set Holo Special Illustration Rare NM,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",kb.cardz,https://i.ebayimg.com/images/g/XDkAAeSw459qc~4-/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-16T04:12:21.303286+00:00,,
E13-0002,v1|188313455069|0,https://www.ebay.com/itm/188313455069?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item2bd85b49dd:g:~fcAAeSw88dp698S&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGbL%2FQ6vWHlFURIDwtxdJ48henKRgrng7yhGXZ%2BNm1d90JWdz8ESMlkluF1Ig1qhZeoRdjHGORFfFdfEOEYNGsLfw2jCWTyqVF%2FKcqDJqxS18f5zcyo764E8%2Fr7%2F%2BK9eypD2xy32k5JwawiGeilUm4NfCwgSgOhHpkaIBJZJrjl%2FVmfsWGGBkibbLekqeYMiwt9uqJwq99P%2FRiGk463jzoXy2km8gYt1p3n1R5nN4L7FnPFMSSgN4TYqgE3HEi5iDqubaqtgl4wqG%2FWJWNHRlId%2FLKvgPU%2BOFJOlR0bndLvEnLAQUebYVlPsAfSefGA5gtNzVW7RL7qPbc34HmG1yHgX,Penny 252/198 SV01: Scarlet & Violet Base Set Holo,Graded,2750,,"[""FIXED_PRICE"", ""BEST_OFFER""]",annhamm80116,https://i.ebayimg.com/images/g/~fcAAeSw88dp698S/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,NO,SINGLE_CARD,GRADED,CARD,,,,,Donny,2026-09-16T03:17:58.198357+00:00,,
E13-0003,v1|168402766756|0,https://www.ebay.com/itm/168402766756?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item2735964ba4:g:wZoAAeSw5ptqFLX3,Penny 252/198 Special Illustration Rare Scarlet & Violet Pokemon Near Mint,Ungraded,4000,,"[""FIXED_PRICE""]",nick_of_time_collectibles,https://i.ebayimg.com/images/g/wZoAAeSw5ptqFLX3/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-16T04:11:25.133242+00:00,,
E13-0004,v1|128078051252|0,https://www.ebay.com/itm/128078051252?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item1dd20bf7b4:g:mIYAAeSw7U5qpzmR,Pokémon Penny Trainer 252/198 Scarlet & Violet Base Special Illustration Rare NM,Ungraded,4000,,"[""AUCTION""]",uscat-35euzv,https://i.ebayimg.com/images/g/mIYAAeSw7U5qpzmR/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-16T04:10:23.971447+00:00,,
E13-0005,v1|145368503208|444560785604,https://www.ebay.com/itm/145368503208?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&var=444560785604&hash=item21d8a353a8:g:MxoAAOSwZu9lLDEK,Pokemon TCG Scarlet and Violet Base Set Singles - Choose your own Card!,Ungraded,4000,,"[""FIXED_PRICE""]",xerksies,https://i.ebayimg.com/images/g/MxoAAOSwZu9lLDEK/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,NO,SINGLE_CARD,RAW,CARD,INCONSISTENT,,,,Donny,2026-09-16T03:18:04.073197+00:00,,
E13-0006,v1|396968441843|0,https://www.ebay.com/itm/396968441843?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item5c6d29b7f3:g:7uMAAeSwAE9ooWNh&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGbSwKkzpb9BtdcwpUUxFxULT6fH%2BvutuS9KNULttSKGeGok2kB3GbX8cd4WZsmtW6xYxrepUHT1MjyTdyer0HwUhbV%2B0O%2B7yYFoGli4AORTh5M%2BRNlEptBLX12hW5yjVkXaz0w35EdhqBDC0Z0DQ%2BAV%2BRTcJ4xRPjvsx38YehxNnZd07zKQr9%2BXdudkJKReXyraOQw%2BiATGTKB7I3I7u%2FxcXje9rE81cimsrieMPf%2BynskQeV63%2FZAQzH5My6hIb7fCWN5CIPt7F3PsUwk%2BMEN58Db7nZMzSeh%2BZqUgkjfHaMZ3QUDPNDNFJktZGSSeWhuN8VetNYVR9euGhi2xyi0v,Penny 239/198 Sv01: Scarlet & Violet Base Set Holo *B2,Ungraded,4000,,"[""FIXED_PRICE""]",adjnor,https://i.ebayimg.com/images/g/7uMAAeSwAE9ooWNh/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,NO,SINGLE_CARD,RAW,CARD,INCONSISTENT,,,,Donny,2026-09-16T03:18:06.217838+00:00,,
E13-0007,v1|336465769477|0,https://www.ebay.com/itm/336465769477?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item4e56ec3405:g:sBUAAeSwWK1pqkKI,Penny 252/198 SIR SV01: Scarlet & Violet Base Set - Pokemon Card - NM,Ungraded,4000,,"[""FIXED_PRICE""]",joshuavaladao,https://i.ebayimg.com/images/g/sBUAAeSwWK1pqkKI/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-16T04:11:33.371461+00:00,,
E13-0008,v1|227523324907|0,https://www.ebay.com/itm/227523324907?_skw=Trubbish+140+White+Flare&hash=item34f9726beb:g:50cAAeSwMYBqqcVV,Trubbish 140/086 Sv: White Flare Holo,Ungraded,4000,,"[""FIXED_PRICE""]",sullyssnags,https://i.ebayimg.com/images/g/50cAAeSwMYBqqcVV/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-16T04:11:53.555061+00:00,,
E13-0009,v1|800668508243|0,https://www.ebay.com/itm/800668508243?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=itemba6b8fe053:g:4iUAAeSwRMlqqfuA,Trubbish 140/086 Illustration Rare White Flare Pokemon Holo Near Mint,Ungraded,4000,,"[""FIXED_PRICE""]",nekonekocards,https://i.ebayimg.com/images/g/4iUAAeSwRMlqqfuA/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-16T04:11:49.327321+00:00,,
E13-0010,v1|407219668814|0,https://www.ebay.com/itm/407219668814?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item5ed02f074e:g:RokAAeSwN1lqqdeQ,Pokemon TCG Trubbish 50/108 Evolutions Reverse Holo Common 2016 70 HP,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",tyson_repop3,https://i.ebayimg.com/images/g/RokAAeSwN1lqqdeQ/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-16T04:14:23.529091+00:00,,
