row_id,listing_item_id,item_url,listing_title,condition,buying_options_json,seller_id,image_url,target_card_name,target_set_name,target_card_number,target_treatment,search_language_term,human_truth_label,human_language_if_known,reviewer_id,label_timestamp,review_note
e2_16_dev_0000,v1|206554381715|0,https://www.ebay.com/itm/206554381715,Arbok 101/162 Common Temporal Forces Pokemon Reverse Holo Near Mint,Ungraded,"[""FIXED_PRICE""]",clipthatchicago,https://i.ebayimg.com/images/g/4WwAAeSw34pqprka/s-l1600.jpg,Arbok,Temporal Forces,101,common,,ENGLISH,,donny,2026-09-16T18:46:42.593293+00:00,
e2_16_dev_0001,v1|117413147442|0,https://www.ebay.com/itm/117413147442,Mega Audino ex 253/217 Ultra Rare Ascended Heroes Pokemon Holo Near Mint,Ungraded,"[""FIXED_PRICE""]",sendittcg,https://i.ebayimg.com/images/g/vfIAAeSw4Z1qqNGu/s-l1600.jpg,Mega Audino ex,Ascended Heroes,253,ultra_rare,,ENGLISH,,donny,2026-09-16T18:46:44.183513+00:00,
e2_16_dev_0002,v1|198580634890|0,https://www.ebay.com/itm/198580634890,Mega Audino ex 253/217 ME: Ascended Heroes Ultra Rare Pokemon Card,Ungraded,"[""FIXED_PRICE""]",mun-6353,https://i.ebayimg.com/images/g/DykAAeSwislqhOMp/s-l1600.jpg,Mega Audino ex,Ascended Heroes,253,ultra_rare,,ENGLISH,,donny,2026-09-16T18:46:45.968285+00:00,
e2_16_dev_0003,v1|287584493672|0,https://www.ebay.com/itm/287584493672,Pokemon TCG Durant ex 236/191 Sv08: Surging Sparks SIR Holo EN 2024,Ungraded,"[""AUCTION""]",crono327,https://i.ebayimg.com/images/g/PygAAeSwjhxqicBp/s-l1600.jpg,Durant ex,Surging Sparks,236,special_illustration_rare,,ENGLISH,,donny,2026-09-16T18:46:47.730937+00:00,
e2_16_dev_0004,v1|235510963188|535690738630,https://www.ebay.com/itm/235510963188?var=535690738630&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde9XN0h5s9g9LxZgdC2hi5e0zVowFK6PyIDYp0bp5i9kGXK8LzVFbtlHfbaPZ%2BLrjaoaN8DpMENe7f0tuXsxV5ttq77TOKaLIB5EDlPILaCARqsC7BLLVWnC9OvpOipHFPWh%2BGz96zL%2BPKX5o27Y%2F7pM9YptTn9wjNh4Uofq83kBK7yXFHQhAG5vwXnTt6LHypE%3D,🔥Pokemon Temporal Forces Choose your common uncommon Card complete your set PYC,Ungraded,"[""FIXED_PRICE""]",crazycoolcardz,https://i.ebayimg.com/images/g/DBwAAOSw~kRmEw-6/s-l1600.jpg,Coalossal,Temporal Forces,95,uncommon,,UNCERTAIN,,donny,2026-09-16T18:46:49.444088+00:00,
e2_16_dev_0005,v1|407217348345|0,https://www.ebay.com/itm/407217348345,Mega Darkrai ex 116/084 - Special Illustration Rare SIR Pitch Black Pokemon NM,Ungraded,"[""FIXED_PRICE"", ""BEST_OFFER""]",egnitingbreaks,https://i.ebayimg.com/images/g/p1MAAeSwHahqqKqU/s-l1600.jpg,Mega Darkrai ex,Pitch Black,116,special_illustration_rare,,ENGLISH,,donny,2026-09-16T18:46:51.910109+00:00,
e2_16_dev_0006,v1|198644204483|0,https://www.ebay.com/itm/198644204483,Mega Darkai Ex 116/084 SIR Pitch Black,Ungraded,"[""FIXED_PRICE"", ""BEST_OFFER""]",longlakebasshunter,https://i.ebayimg.com/images/g/d2YAAeSw5nNqqcD6/s-l1600.jpg,Mega Darkrai ex,Pitch Black,116,special_illustration_rare,,ENGLISH,,donny,2026-09-16T18:46:53.173094+00:00,
e2_16_dev_0007,v1|318874898203|0,https://www.ebay.com/itm/318874898203,Arbok 101/162 Temporal Forces Common Reverse Holo Pokemon NM/M,Ungraded,"[""FIXED_PRICE"", ""BEST_OFFER""]",strictlytcgshop,https://i.ebayimg.com/images/g/PhIAAeSwJYxqqX2A/s-l1600.jpg,Arbok,Temporal Forces,101,common,,ENGLISH,,donny,2026-09-16T18:46:54.487355+00:00,
e2_16_dev_0008,v1|298674167598|0,https://www.ebay.com/itm/298674167598,Mega Darkrai ex 116/084 Me05: Pitch Black Holo,Ungraded,"[""FIXED_PRICE"", ""BEST_OFFER""]",kjbcollectibles618,https://i.ebayimg.com/images/g/gKcAAeSwkOJqqCD~/s-l1600.jpg,Mega Darkrai ex,Pitch Black,116,special_illustration_rare,,ENGLISH,,donny,2026-09-16T18:46:55.885030+00:00,
e2_16_dev_0009,v1|168691761988|0,https://www.ebay.com/itm/168691761988,Durant EX 236/191 Holo- Pokémon TCG Surging Sparks 2024 Sv:08 English,Ungraded,"[""FIXED_PRICE"", ""BEST_OFFER""]",grw_collectibles,https://i.ebayimg.com/images/g/HqAAAeSwsntqqd31/s-l1600.jpg,Durant ex,Surging Sparks,236,special_illustration_rare,,ENGLISH,,donny,2026-09-16T18:46:57.626673+00:00,
