row_id,listing_item_id,item_url,listing_title,condition,buying_options_json,seller_id,image_url,image_urls_json,target_card_name,target_set_name,target_card_number,target_treatment,human_truth_label,human_language_if_known,reviewer_id,label_timestamp,review_note
e2_16b_dev_0000,v1|406530194521|0,https://www.ebay.com/itm/406530194521?amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8KK2%2BReZ9rttLE8OCvXvhxMIMYEnGRBYXT4STe0BqgMx%2B8gEECcMidBKGqp%2B6g6J%2BkV91rXQOSc%2FiCwyLng5r8%2B8q2iW4fbRdq%2B9s8BxoBXkBPgmuNsIurI6d23TJBdAivw%2F99j1jBLdMX84MlqUDgaSZmbm0QUKvbFrlNjT8cmYkPWiHPEra7V9c3uxzPMkA%3D,Reshiram EX SAR 168/086 SV11W White Flare Pokemon Card Japanese,Ungraded,"[""FIXED_PRICE""]",cong-toy-house,https://i.ebayimg.com/images/g/gtsAAeSwU2NpUS1Q/s-l1600.jpg,"[""https://i.ebayimg.com/images/g/gtsAAeSwU2NpUS1Q/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/uecAAeSw87ZpUS1N/s-l1600.jpg""]",Reshiram ex,White Flare,166,special_illustration_rare,NON_ENGLISH,,donny,2026-09-16T19:36:54.402227+00:00,
e2_16b_dev_0001,v1|286767649885|0,https://www.ebay.com/itm/286767649885?amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8p%2FlnbOAZWqgzUHh1r7Bjve9CnMGLINpGhyouk%2F9F6E7RCy6etpgcUCWr5Din85vQLwKnYMCU2QsLaWuXm757WPdaDc0HDBk9aYa9IXLcQiU25Y%2F0ZTTqJvEeEy0P2xj8KMZogO1lnDKNDG66HWDvSxmw%2BnPg%2FO1ApmZ%2Fuw9J7sZeug53%2FaxSrttCyTjW6z5A%3D,Pokemon Crustle 136/086 AR SV11B Black Bolt Japanese Full Art Near Mint,Ungraded,"[""FIXED_PRICE""]",tangledtech,https://i.ebayimg.com/images/g/09EAAeSwLjdon5c8/s-l1600.jpg,"[""https://i.ebayimg.com/images/g/09EAAeSwLjdon5c8/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/4jcAAeSw1uNon5c8/s-l1600.jpg""]",Crustle,Paradox Rift,183,illustration_rare,NON_ENGLISH,,donny,2026-09-16T19:36:56.080161+00:00,
e2_16b_dev_0002,v1|397656106368|0,https://www.ebay.com/itm/397656106368?amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde%2FtGfSI4f6qvyxboWm2x0BI7YvCwdxTsWqSPDT%2F963pf%2Bli89WRtRe9ylAExhkfkzP0qyoccfqhOj81hvVYRQi0Q7YD81R9peJcnkBQSWjox8gh6DYOmp3fZWo6x3mb0VTmY0UT5nrgQww2EapD2RT41DP5sjdvarotjwiHM%2BGbDfTbu2w6YHt41ahijgCHGr8%3D,Archeops R 048/086 Reverse Holo White Flare sv11W Pokemon Card Japanese [NM],Ungraded,"[""FIXED_PRICE""]",stcrecycling,https://i.ebayimg.com/images/g/sDEAAOSwE4RoQ9j1/s-l1600.jpg,"[""https://i.ebayimg.com/images/g/sDEAAOSwE4RoQ9j1/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/FxwAAOSwCaFoQ9j2/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/ne4AAOSw45NoQ9j6/s-l1600.jpg""]",Archeops,White Flare,132,illustration_rare,NON_ENGLISH,,donny,2026-09-16T19:36:59.493351+00:00,
e2_16b_dev_0003,v1|405929931474|0,https://www.ebay.com/itm/405929931474?amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8rwYTVRWjdy2rG7OvGh4i7%2FLp6KzgOJGwOd3fD8ARpxLhNOA9jsB06y0l72dv674QIrh1kJKO3ZCS0UC6qhVn0gBQR4AtwOCbZX07lINdcDKAjGLRC0YokxWube18py9pfc26s5UA04n%2FgNAhV5e4qC38ha8VLZhI9SNRXUro84musb3dCF%2BR2sr23WYyBSak%3D,Trubbish Reverse Holo 056/086 White Flare sv11w 2025 Pokemon Card Japanese,Ungraded,"[""FIXED_PRICE""]",carroll_japanese_tcg,https://i.ebayimg.com/images/g/XcAAAeSwwKRoQgT4/s-l1600.jpg,"[""https://i.ebayimg.com/images/g/XcAAAeSwwKRoQgT4/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/ut8AAeSwxrFoQgT4/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/zJcAAeSwZ71oQgT4/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/1dMAAeSwKCRoQgT4/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/oDMAAeSwRmpoQgT4/s-l1600.jpg""]",Trubbish,White Flare,140,illustration_rare,NON_ENGLISH,,donny,2026-09-16T19:37:02.430258+00:00,
e2_16b_dev_0004,v1|376416942760|0,https://www.ebay.com/itm/376416942760,Dachsbun ex RR 046/102 SV7 Stellar Miracle - Pokemon Card Japanese,Ungraded,"[""FIXED_PRICE"", ""BEST_OFFER""]",toothfairytcg,https://i.ebayimg.com/images/g/h3AAAOSwPNhn6YOq/s-l1600.jpg,"[""https://i.ebayimg.com/images/g/h3AAAOSwPNhn6YOq/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/~JUAAOSwRa9n6YOi/s-l1600.jpg""]",Dachsbun ex,Stellar Crown,169,special_illustration_rare,NON_ENGLISH,,donny,2026-09-16T19:37:04.275568+00:00,
e2_16b_dev_0005,v1|357250239766|0,https://www.ebay.com/itm/357250239766?amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8zSoavleS%2BfxhPciAkWDyTpF3x3pqs7FLyTqJZFjhZ0D16SmrOcPOXrGS0eLpptqgtqILE0bw3qGrq1%2Bdb1nY6AKm3PXhBQQizF5r9eBeX7KoHVTx7PUMimgTb2HruajvhUjTxoT8OkYKgULKK9DgYpEevEXrPryGk5wZn73KtAhKvb1B0nJawIJS82z%2F2pfI%3D,Pokemon TCG　Crustle　Art Rare　SV9a【Japanese】,Ungraded,"[""FIXED_PRICE""]",daik7798,https://i.ebayimg.com/images/g/GGcAAeSwxvVoan5Z/s-l1600.jpg,"[""https://i.ebayimg.com/images/g/GGcAAeSwxvVoan5Z/s-l1600.jpg""]",Crustle,Paradox Rift,183,illustration_rare,NON_ENGLISH,,donny,2026-09-16T19:37:07.746039+00:00,
e2_16b_dev_0006,v1|397656097422|0,https://www.ebay.com/itm/397656097422?amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde%2FpgTf3CqWgUMydyCYfAuPFne00Q7%2FsJ%2FwMG3GpW0pRXGDKV%2FE1wYuN%2BVXBMavgg5SfDc3uBFLVe2qVXTnu4hSOaJDaYrHUfa8DYCPogv98lPztIx336Iu1ibHZLxAP92mPaw9sEF2Rq7DKo29RdGtMrse01iqRzwUu3BUPpNwyicLPDnFSD8Wh%2BfjMJJQ2JEI%3D,Crustle AR 136/086 Black Bolt sv11B Pokemon Card Japanese [Near Mint],Ungraded,"[""FIXED_PRICE""]",stcrecycling,https://i.ebayimg.com/images/g/TvUAAOSwAjdoQ7Qz/s-l1600.jpg,"[""https://i.ebayimg.com/images/g/TvUAAOSwAjdoQ7Qz/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/UcYAAOSwijFoQ7Q1/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/Z48AAOSwSptoQ7Q5/s-l1600.jpg""]",Crustle,Paradox Rift,183,illustration_rare,NON_ENGLISH,,donny,2026-09-16T19:37:09.706529+00:00,
e2_16b_dev_0007,v1|388429551029|0,https://www.ebay.com/itm/388429551029?amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde%2BYCEJV2dZ5G6rJQG5dogRph9MACgqGM9wj9MBg79IRllDFNGkPR%2FV56CLtfylB5Zi24kXY%2FgLivk0GsUPtJb7mTf5q7EvuRoN1gNZGBWpeAe%2F9uZZ0Jc5xGg2ELbBdaRvqFM817dY%2F1RHtUqdJ5%2BQhBUvzYhn%2BcT3e1M3P%2F2xDu9NgqgHuTnbE1CXjLap1h1E%3D,Pokemon Card Gouging Fire ex 093/071 SV5K: Temporal Forces SAR Holo Japanese,Ungraded,"[""FIXED_PRICE"", ""BEST_OFFER""]",japan_good_product_store,https://i.ebayimg.com/images/g/cVUAAOSwyvNoKGhA/s-l1600.jpg,"[""https://i.ebayimg.com/images/g/cVUAAOSwyvNoKGhA/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/qhwAAOSww-loKGhB/s-l1600.jpg""]",Gouging Fire ex,Temporal Forces,204,special_illustration_rare,NON_ENGLISH,,donny,2026-09-16T19:37:11.624101+00:00,
e2_16b_dev_0008,v1|366673157672|0,https://www.ebay.com/itm/366673157672,Mega Gardevoir ex 087/063 M1s: Mega Symphonia Holo (Japanese),Ungraded,"[""FIXED_PRICE"", ""BEST_OFFER""]",skleimer1209,https://i.ebayimg.com/images/g/P-MAAeSwFx9qqusV/s-l1600.jpg,"[""https://i.ebayimg.com/images/g/P-MAAeSwFx9qqusV/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/dDkAAeSwguFqqusV/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/VGkAAeSwTbZqqusW/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/qCcAAeSw7ydqqusW/s-l1600.jpg""]",Mega Gardevoir ex,Mega Evolution,187,mega_hyper_rare,NON_ENGLISH,,donny,2026-09-16T19:37:14.518376+00:00,
e2_16b_dev_0009,v1|227496276475|0,https://www.ebay.com/itm/227496276475,Mega Gardevoir ex SAR 087/063 M1S Mega Symphonia - Pokemon Card Japanese MEGA,Ungraded,"[""FIXED_PRICE""]",shibataro,https://i.ebayimg.com/images/g/GzMAAeSwkAlqmiQk/s-l1600.jpg,"[""https://i.ebayimg.com/images/g/GzMAAeSwkAlqmiQk/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/ZccAAeSwK6FqmiQk/s-l1600.jpg"", ""https://i.ebayimg.com/images/g/BU8AAeSwMtZqmiQk/s-l1600.jpg""]",Mega Gardevoir ex,Mega Evolution,187,mega_hyper_rare,NON_ENGLISH,,donny,2026-09-16T19:37:16.366229+00:00,
