queue_row_id,source_row_id,source_corpus,canonical_card_id,image_url,listing_title_DO_NOT_USE_AS_EVIDENCE,specific_language_if_known,reviewer_notes
e217_lang_review_0000,e16_e2_16_dev_0092,e2_16,0331d96e-d8af-44d3-9552-85f784d9b4ca,https://i.ebayimg.com/images/g/Qk0AAeSwmo9qRSkS/s-l1600.jpg,Pokemon Chinese ID Set #PMSS1022 Trubbish R,CHINESE,
e217_lang_review_0001,e16b_e2_16b_dev_0012,e2_16b,0dde3317-5162-49d1-b5c9-6b206a086d2c,https://i.ebayimg.com/images/g/h-AAAeSwpO5pM6dP/s-l1600.jpg,Tinkatuff 2023 SV4a 095/190 G Nintendo Gamefreak Pokemon Card Japanese F/S,JAPANESE,
e217_lang_review_0002,e16b_e2_16b_dev_0032,e2_16b,152906c9-3b9f-4f16-bb22-cb4241c7386b,https://i.ebayimg.com/images/g/r2YAAeSwhd9pg-44/s-l1600.jpg,Pokémon TCG Giovanni's Charisma Scarlet & Violet 151 Card 197/165 Japanese,JAPANESE,
e217_lang_review_0003,e16_e2_16_dev_0078,e2_16,21e9ddc5-2751-4886-9e08-a1c6e2cc14e4,https://i.ebayimg.com/images/g/7KwAAeSwau1qlGRQ/s-l1600.jpg,Black Kyurem ex 058/207 2026 Brilliant Fantasy Pokemon Chinese,CHINESE,
e217_lang_review_0004,e16b_e2_16b_dev_0046,e2_16b,23d6bd35-bbf0-49b2-911e-4949e66ff8bb,https://i.ebayimg.com/images/g/gjEAAeSwDfRpEEfq/s-l1600.jpg,Pachirisu 2023 SV4a 062/190 C Nintendo Gamefreak Pokemon Card Japanese F/S,JAPANESE,
e217_lang_review_0005,e16b_e2_16b_dev_0000,e2_16b,2cef0dfb-a5fd-4aed-b8ae-34a82f414587,https://i.ebayimg.com/images/g/gtsAAeSwU2NpUS1Q/s-l1600.jpg,Reshiram EX SAR 168/086 SV11W White Flare Pokemon Card Japanese,JAPANESE,
e217_lang_review_0006,e16_e2_16_dev_0105,e2_16,2e5780f8-1769-4d26-9e3e-87e4a27d4dfe,https://i.ebayimg.com/images/g/114AAeSwsVlqoWjT/s-l1600.jpg,Pokemon Japanese Dachsbun Ex 129 Stella Miracle Special Art Rare SAR NM Holo,JAPANESE,
e217_lang_review_0007,e16b_e2_16b_dev_0025,e2_16b,31566cbb-0eeb-499e-aa6d-b9b0bd85fc8b,https://i.ebayimg.com/images/g/5U4AAeSwU7hqYlhz/s-l1600.jpg,Chaos Rising Mega greninja EX Holo Pokemon Card Japanese Standard 350HP,JAPANESE,
e217_lang_review_0008,e16b_e2_16b_dev_0008,e2_16b,3baf2f12-759f-427a-b8d0-2511e639310f,https://i.ebayimg.com/images/g/P-MAAeSwFx9qqusV/s-l1600.jpg,Mega Gardevoir ex 087/063 M1s: Mega Symphonia Holo (Japanese),JAPANESE,
e217_lang_review_0009,e16_e2_16_dev_0060,e2_16,3c75f577-62ee-4bdf-865c-ab2384f4379b,https://i.ebayimg.com/images/g/l0QAAeSwtplpoWqR/s-l1600.jpg,Pokemon TCG Mega Charizard Y ex 085/742 MC Mega Start Deck 100 Korean,KOREAN,
e217_lang_review_0010,e16b_e2_16b_dev_0019,e2_16b,4206e794-1ec6-4d55-94d4-63267ac9a183,https://i.ebayimg.com/images/g/Mg0AAeSwl1dqmlCu/s-l1600.jpg,Mega Dragonite ex 246/193 M2a: High Class Pack: Mega Dream Ex Holo (Japanese),JAPANESE,
e217_lang_review_0011,e16b_e2_16b_dev_0029,e2_16b,55096ab6-1773-47c4-bbff-20c1db011223,https://i.ebayimg.com/images/g/jhwAAeSwm5Bp-Y4c/s-l1600.jpg,Victini AR 097/086 SV11B Black Bolt Pokemon Card Japanese,JAPANESE,
e217_lang_review_0012,e16_e2_16_dev_0083,e2_16,67611b34-a7e9-497f-9708-651cc015ca6c,https://i.ebayimg.com/images/g/ACcAAeSwRXVqaEXi/s-l1600.jpg,Pokemon S-Chinese Card Sun&Moon CSM2bC-185 SR Trainer Lillie's Full Force Holo,CHINESE,
e217_lang_review_0013,e16b_e2_16b_dev_0007,e2_16b,6a1e2c02-b24d-4001-96f1-8bc2a24d8ccd,https://i.ebayimg.com/images/g/cVUAAOSwyvNoKGhA/s-l1600.jpg,Pokemon Card Gouging Fire ex 093/071 SV5K: Temporal Forces SAR Holo Japanese,JAPANESE,
e217_lang_review_0014,e16b_e2_16b_dev_0001,e2_16b,77b44a76-26f7-4fa0-a548-c29870a7bb68,https://i.ebayimg.com/images/g/09EAAeSwLjdon5c8/s-l1600.jpg,Pokemon Crustle 136/086 AR SV11B Black Bolt Japanese Full Art Near Mint,JAPANESE,
e217_lang_review_0015,e16b_e2_16b_dev_0024,e2_16b,828c0d0d-2ede-4bab-bed4-407cd3cf8662,https://i.ebayimg.com/images/g/7NQAAeSw5spp81d6/s-l1600.jpg,Pokemon Japanese TCG 2025 MEGA Dream ex MEGA Gengar ex M2a-240/193 SAR NM,JAPANESE,
