benchmark_row_id,listing_item_id,item_url,listing_title,condition,condition_id,category_id,buying_options_json,seller_id,image_url,canonical_card_id,card_variant_id,target_card_name,target_set_name,target_card_number,target_treatment,exact_match_yes_no_uncertain,single_card_or_lot,raw_or_graded,card_or_sealed_nonshcard,collector_number_consistency,set_consistency,language,variant_treatment,reviewer_id,label_timestamp,review_note,adjudicated_result
E9B-0000,v1|257728064250|0,https://www.ebay.com/itm/257728064250?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item3c01ca2afa:g:jeIAAeSwhPJqndi8,Penny 183/198 Pokemon SV01: Scarlet & Violet Base Set,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",nm_cleeetis_llc,https://i.ebayimg.com/images/g/jeIAAeSwhPJqndi8/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,NO,SINGLE_CARD,RAW,CARD,INCONSISTENT,,,,Donny,2026-09-15T03:44:38.580192+00:00,,
E9B-0001,v1|366544525053|0,https://www.ebay.com/itm/366544525053?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item5557c196fd:g:UbwAAeSwzWtn4Zfz,Penny #183/198 Pokemon SV01: Scarlet & Violet Base Set Near Mint or Better,Ungraded,4000,,"[""FIXED_PRICE""]",focusedongaming,https://i.ebayimg.com/images/g/UbwAAeSwzWtn4Zfz/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,NO,SINGLE_CARD,RAW,CARD,INCONSISTENT,,,,Donny,2026-09-15T03:44:41.787905+00:00,,
E9B-0002,v1|318576545816|0,https://www.ebay.com/itm/318576545816?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item4a2ca45018:g:P3IAAeSwvqJqVRCX&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGZT%2F0B0HqTrnr%2FWtNaA%2BhIxhUbjP8f2Vn--cUBzWjZto%2F3Cm2EbU0PhtDm6totogSBBxYbBYGY%2B%2Brfwezj9TBaDHNGDYVuWs%2BIn8Ecy7x8MG5tgqo7yl97FJyqm253rooARV%2FapRY0Cw9s2f%2BH%2BSZoOSyPfg9tQZosk8EQP9b3NHl9YC6JiUgNIgvVnmCuYEfiQjkZDADK8lS0N5F%2Bi8Jdzi2Q%2Fk4TrhaXpfAEyshD5w1hXo8ko1VkI0whyPZHp2TQ3OgDqKBZFfXm2%2BSAPRIeBcUCO5kDGehSmd0EvgOfeSarNSqJBXmSkzfudbztOWoQ5iaZhPFz%2FBQg1bT9AcaJ8,Scarlet & Violet Holo Illustration Rare Penny Base Set 252/198 SV01,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",johnber-86,https://i.ebayimg.com/images/g/P3IAAeSwvqJqVRCX/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-15T22:17:50.973587+00:00,,
E9B-0003,v1|127461213930|0,https://www.ebay.com/itm/127461213930?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item1dad47c6ea:g:XqUAAeSwvKFpA44I,Penny 252/198 SV01: Scarlet & Violet Base Set Holo NM PK000524,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",camaroboysam,https://i.ebayimg.com/images/g/XqUAAeSwvKFpA44I/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-15T22:16:58.120084+00:00,,
E9B-0004,v1|188753284157|0,https://www.ebay.com/itm/188753284157?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item2bf2928c3d:g:mtwAAOSwqUVoK46K,Pokemon Card - Penny Scarlet & Violet Base Set 252/198 Illustration Rare,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",popsblockshop,https://i.ebayimg.com/images/g/mtwAAOSwqUVoK46K/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-15T22:17:40.184060+00:00,,
E9B-0005,v1|227447576465|0,https://www.ebay.com/itm/227447576465?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item34f4ee9791:g:hoEAAeSw2AdqZSTd&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGYhDT8fs0HuTYFYD0Rakwisxv8cpdZ6kL0QgosFTGCjY8w%2FZROkir4zKqYQV5GUbaNuRfGZatkg762dvLpC7hBSyBW4jbjj90%2F6VRoJYjikX45McCocjGRFefYK97ewKtkumHKGvMq0PhqAdMytxz0UeUU7tked9GmIos9Wz4LqFr%2B19Uhr8ozQwUHiGPphmDlbdN44x8orbjFDuIPLTe27xdTwCCEXZnZsofKwjFf%2Bw%2BD5v7gfrSdrUXG8yrspVCbTeFa6ASSb0BFwtQ7qTEdSvDwtDaNpwBEG%2BzRjD1PEDvtXi4Zm8d93m%2FzOG9D1B6jQAoIvgQo6Y%2B4A%2FHfhqlk3,Pokemon Penny 239/198 SIR Special Illustration Rare Scarlet & Violet Fresh Pull,Ungraded,4000,,"[""FIXED_PRICE"", ""BEST_OFFER""]",linklogicllc,https://i.ebayimg.com/images/g/hoEAAeSw2AdqZSTd/s-l225.jpg,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,NO,SINGLE_CARD,RAW,CARD,INCONSISTENT,,,,Donny,2026-09-15T03:44:50.078495+00:00,,
E9B-0006,v1|158290132985|0,https://www.ebay.com/itm/158290132985?_skw=Trubbish+140+White+Flare&hash=item24dad3bff9:g:MOYAAeSwxfNqp468,Trubbish 140/086 Pokémon Sv: White Flare Holo Illustration Rare English NM,Ungraded,4000,,"[""FIXED_PRICE""]",dcr_green,https://i.ebayimg.com/images/g/MOYAAeSwxfNqp468/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-15T22:19:36.621345+00:00,,
E9B-0007,v1|257716402982|0,https://www.ebay.com/itm/257716402982?_skw=Trubbish+140+White+Flare&hash=item3c01183b26:g:Gx0AAeSwzf9qluhW,Trubbish 140/086 Sv: White Flare Holo,Ungraded,4000,,"[""FIXED_PRICE""]",robbidownin_0,https://i.ebayimg.com/images/g/Gx0AAeSwzf9qluhW/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,YES,SINGLE_CARD,RAW,CARD,,,,,Donny,2026-09-15T22:20:02.762849+00:00,,
E9B-0008,v1|287536452607|0,https://www.ebay.com/itm/287536452607?_skw=Trubbish+140+White+Flare&hash=item42f28213ff:g:QqAAAeSwXm5qhxcF,Pokémon TCG Trubbish White Flare Full Art English Illustration Rare Card 140/086,Graded,2750,,"[""FIXED_PRICE"", ""BEST_OFFER""]",mitchybaby89,https://i.ebayimg.com/images/g/QqAAAeSwXm5qhxcF/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,NO,SINGLE_CARD,GRADED,CARD,,,,,Donny,2026-09-15T03:44:55.439328+00:00,,
E9B-0009,v1|336744208749|0,https://www.ebay.com/itm/336744208749?_skw=Trubbish+140+White+Flare&hash=item4e6784d96d:g:CaEAAeSwPd5qgKUs,Trubbish 140/086 Sv: White Flare Holo - Near Mint - Free Shipping,Ungraded,4000,,"[""FIXED_PRICE""]",nabztx,https://i.ebayimg.com/images/g/CaEAAeSwPd5qgKUs/s-l225.jpg,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,NO,SINGLE_CARD,GRADED,CARD,,,,,Donny,2026-09-15T03:44:58.429717+00:00,,
