benchmark_row_id,canonical_card_id,card_variant_id,target_card_name,target_set_name,target_card_number,target_treatment,listing_item_id,listing_title,category_id,condition,condition_id,localized_aspects_json,buying_options_json,seller_id,image_url,item_url,price_json,shipping_json,gold_label,reviewer_notes,review_status,partition,reviewer_1_label,reviewer_1_confidence,reviewer_1_note,reviewer_1_id,reviewer_1_at,reviewer_2_label,reviewer_2_confidence,reviewer_2_note,reviewer_2_id,reviewer_2_at,adjudicated_label,adjudicator_id,adjudicated_at,adjudication_note
D2-0002,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,v1|137212789266|0,Penny #252/198 SIR NM/M | Scarlet & Violet Base Set - 2023 Pokemon Card,,Ungraded,4000,[],"[""FIXED_PRICE"", ""BEST_OFFER""]",oxzeee,https://i.ebayimg.com/images/g/BioAAeSweSZp2DLu/s-l225.jpg,https://www.ebay.com/itm/137212789266?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item1ff2850212:g:BioAAeSweSZp2DLu,"{""value"": ""10.00"", ""currency"": ""USD""}","[{""shippingCostType"": ""CALCULATED""}]",,,PENDING_INDEPENDENT_HUMAN_REVIEW,FINAL_BLIND_TEST,,,,,,,,,,,,,,
D2-0003,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,v1|137691206606|0,Penny 252/198 SV01: Scarlet & Violet Base Set Holo,,Ungraded,4000,[],"[""FIXED_PRICE"", ""BEST_OFFER""]",brokeazzbreakerzllc,https://i.ebayimg.com/images/g/GhMAAeSwvW9qmF6-/s-l225.jpg,https://www.ebay.com/itm/137691206606?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item200f0913ce:g:GhMAAeSwvW9qmF6-&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGbEY1Hw1ir2gBliqjkUkBaKZbwKtv%2F3EHfh7j5kCX%2BUOOCdSWz5IFovD9n9kOxvimmyO9jy3yQ9GD%2BmpyWDR1QhTtUfteuD7n9109c4V3f6JkLAIP4e5COFv5vLIfh--7OJlvQeXmWD%2Bn8ZZxLqxNXC2aGvc4Cw40PXyTXQ%2FbhAZ6reeifeD3aVja8phb9cE4rc2%2FkNgtgPo7okga%2BMhtZrBPCd7yCrt6CelI1j6ntTMowghmuULjIxC9cQnRHnE7Gq6rVV%2FU%2Bj8FnGXecYuJjY3TvygQTD%2B4cBZT6oKDoU4XhefO9zZRumYvFyqnsHi2YOp1plXP%2FNn3IOe2j9rxyx,"{""value"": ""6.50"", ""currency"": ""USD""}","[{""shippingCostType"": ""CALCULATED""}]",,,PENDING_INDEPENDENT_HUMAN_REVIEW,FINAL_BLIND_TEST,,,,,,,,,,,,,,
D2-0007,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,v1|117359516491|0,Pokemon SV01: Scarlet & Violet Base Set #239/198 Penny,,Ungraded,4000,[],"[""FIXED_PRICE""]",hawks_phins,https://i.ebayimg.com/images/g/KggAAeSwJtNqf1x8/s-l225.jpg,https://www.ebay.com/itm/117359516491?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item1b532c1b4b:g:KggAAeSwJtNqf1x8,"{""value"": ""4.99"", ""currency"": ""USD""}","[{""shippingCostType"": ""FIXED"", ""shippingCost"": {""value"": ""0.00"", ""currency"": ""USD""}, ""minEstimatedDeliveryDate"": ""2026-09-16T07:00:00.000Z"", ""maxEstimatedDeliveryDate"": ""2026-09-23T07:00:00.000Z""}]",,,PENDING_INDEPENDENT_HUMAN_REVIEW,FINAL_BLIND_TEST,,,,,,,,,,,,,,
D2-0011,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,v1|267559359111|567376548194,(2 Card Minimum) - 15% off 4+ | Pokemon: Scarlet & Violet Base Set,,Ungraded,4000,[],"[""FIXED_PRICE""]",consoulgames,https://i.ebayimg.com/images/g/-7oAAeSwP-hqpE-r/s-l225.jpg,https://www.ebay.com/itm/267559359111?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&var=567376548194&hash=item3e4bc7d287:g:-7oAAeSwP-hqpE-r,"{""value"": ""0.99"", ""currency"": ""USD""}","[{""shippingCostType"": ""FIXED"", ""shippingCost"": {""value"": ""0.00"", ""currency"": ""USD""}, ""minEstimatedDeliveryDate"": ""2026-09-15T07:00:00.000Z"", ""maxEstimatedDeliveryDate"": ""2026-09-21T07:00:00.000Z""}]",,,PENDING_INDEPENDENT_HUMAN_REVIEW,FINAL_BLIND_TEST,,,,,,,,,,,,,,
D2-0013,018c983e-b1d0-41df-880e-ebf3f2e2fb12,4eb8f140-a9c3-41c4-85aa-c2f6b7131746,Penny,Scarlet and Violet Base Set,252,special_illustration_rare,v1|406718769020|0,Penny 183/198 Uncommon Scarlet and Violet Base Set Lightly Played Pokemon Card,,Ungraded,4000,[],"[""FIXED_PRICE"", ""BEST_OFFER""]",b.white-475,https://i.ebayimg.com/images/g/BosAAeSwG9Rpnaen/s-l225.jpg,https://www.ebay.com/itm/406718769020?_skw=Penny+252+Scarlet+and+Violet+Base+Set+Pokemon+card&hash=item5eb253e77c:g:BosAAeSwG9Rpnaen,"{""value"": ""2.49"", ""currency"": ""USD""}","[{""shippingCostType"": ""FIXED"", ""shippingCost"": {""value"": ""0.00"", ""currency"": ""USD""}, ""minEstimatedDeliveryDate"": ""2026-09-15T07:00:00.000Z"", ""maxEstimatedDeliveryDate"": ""2026-09-21T07:00:00.000Z""}]",,,PENDING_INDEPENDENT_HUMAN_REVIEW,FINAL_BLIND_TEST,,,,,,,,,,,,,,
D2-0016,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,v1|128053538732|0,Trubbish 140/086 Illustration Rare White Flare Pokemon Holo Pokemon NM,,Ungraded,4000,[],"[""FIXED_PRICE""]",phoenixpoki33,https://i.ebayimg.com/images/g/pWIAAeSwGGJqlVf~/s-l225.jpg,https://www.ebay.com/itm/128053538732?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item1dd095efac:g:pWIAAeSwGGJqlVf~,"{""value"": ""18.85"", ""currency"": ""USD"", ""convertedFromValue"": ""13.95"", ""convertedFromCurrency"": ""GBP""}",[],,,PENDING_INDEPENDENT_HUMAN_REVIEW,FINAL_BLIND_TEST,,,,,,,,,,,,,,
D2-0020,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,v1|318858860376|0,POKEMON TRUBBISH 140/086 HOLO WHT,,Ungraded,4000,[],"[""FIXED_PRICE""]",yugioh-time-wizard-2026,https://i.ebayimg.com/images/g/aqoAAeSwKxVqpJiQ/s-l225.jpg,https://www.ebay.com/itm/318858860376?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item4a3d781758:g:aqoAAeSwKxVqpJiQ,"{""value"": ""18.99"", ""currency"": ""USD""}","[{""shippingCostType"": ""FIXED"", ""shippingCost"": {""value"": ""1.36"", ""currency"": ""USD""}, ""minEstimatedDeliveryDate"": ""2026-09-15T07:00:00.000Z"", ""maxEstimatedDeliveryDate"": ""2026-09-21T07:00:00.000Z""}]",,,PENDING_INDEPENDENT_HUMAN_REVIEW,FINAL_BLIND_TEST,,,,,,,,,,,,,,
D2-0023,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,v1|157217521409|458745866829,White Flare Pokemon Cards! Holo/Reverse Holo Rare Illustration Full Art SIR Card,,Ungraded,4000,[],"[""FIXED_PRICE""]",overstackedcards,https://i.ebayimg.com/images/g/NcIAAeSwPHBoooEJ/s-l225.jpg,https://www.ebay.com/itm/157217521409?_skw=Trubbish+140+White+Flare+Pokemon+card&var=458745866829&hash=item249ae4ff01:g:NcIAAeSwPHBoooEJ,"{""value"": ""33.24"", ""currency"": ""USD""}","[{""shippingCostType"": ""FIXED"", ""shippingCost"": {""value"": ""0.00"", ""currency"": ""USD""}, ""minEstimatedDeliveryDate"": ""2026-09-15T07:00:00.000Z"", ""maxEstimatedDeliveryDate"": ""2026-09-18T07:00:00.000Z""}]",,,PENDING_INDEPENDENT_HUMAN_REVIEW,FINAL_BLIND_TEST,,,,,,,,,,,,,,
D2-0024,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,v1|158257203362|459388769759,Pokemon White Flare Holo and Non Holo Pick Your Card SV11 TCG,,Ungraded,4000,[],"[""FIXED_PRICE""]",mac_tcgandsports,https://i.ebayimg.com/images/g/p1cAAeSwHiZqmtI7/s-l225.jpg,https://www.ebay.com/itm/158257203362?_skw=Trubbish+140+White+Flare+Pokemon+card&var=459388769759&hash=item24d8dd48a2:g:p1cAAeSwHiZqmtI7,"{""value"": ""1.29"", ""currency"": ""USD""}","[{""shippingCostType"": ""FIXED"", ""shippingCost"": {""value"": ""0.00"", ""currency"": ""USD""}, ""minEstimatedDeliveryDate"": ""2026-09-15T07:00:00.000Z"", ""maxEstimatedDeliveryDate"": ""2026-09-21T07:00:00.000Z""}]",,,PENDING_INDEPENDENT_HUMAN_REVIEW,FINAL_BLIND_TEST,,,,,,,,,,,,,,
D2-0028,0331d96e-d8af-44d3-9552-85f784d9b4ca,720c16f5-5c19-43bc-a711-0ea9e8545aab,Trubbish,White Flare,140,illustration_rare,v1|137634880992|0,Trubbish 140/086 NM White Flare Pokemon Card illustration Rare IR AR 86 Art Bolt,,Ungraded,4000,[],"[""FIXED_PRICE""]",jagru_3470,https://i.ebayimg.com/images/g/cCsAAeSwhFRqhCl5/s-l225.jpg,https://www.ebay.com/itm/137634880992?_skw=Trubbish+140+White+Flare+Pokemon+card&hash=item200bad9de0:g:cCsAAeSwhFRqhCl5,"{""value"": ""40.66"", ""currency"": ""USD"", ""convertedFromValue"": ""30.09"", ""convertedFromCurrency"": ""GBP""}",[],,,PENDING_INDEPENDENT_HUMAN_REVIEW,FINAL_BLIND_TEST,,,,,,,,,,,,,,
