calculation_run_id,research_method_version,source_row_index,price_column,card_name,card_number,rarity_key,price_used,observed_pull_count,expected_copies_per_pack,ev_contribution_per_pack,ev_share,ev_rank,sim_pack_count,built_at
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,0,Price ($),Annihilape ex,242/193,ultra rare,4.71,2440,0.00244,0.0114924,0.0019811029832748637,69,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,1,Price ($),Basic Grass Energy,278/193,hyper rare,10.04,1945,0.001945,0.019527799999999998,0.0033662753503876366,53,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,2,Price ($),Baxcalibur,060/193,rare,0.23,31970,0.03197,0.0073531000000000004,0.0012675549359853816,127,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,2,Reverse Variant Price ($),Baxcalibur,060/193,rare,0.33,10302,0.010302,0.00339966,0.0005860461320629479,269,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,3,Price ($),Baxcalibur,210/193,illustration rare,33.76,2127,0.002127,0.07180751999999999,0.012378449418186749,14,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,4,Price ($),Bellibolt ex,237/193,ultra rare,3.58,2470,0.00247,0.0088426,0.0015243205283410174,98,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,5,Price ($),Boss's Orders,172/193,rare,0.33,31725,0.031725,0.01046925,0.001804728551708117,79,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,5,Reverse Variant Price ($),Boss's Orders,172/193,rare,1.05,10377,0.010377,0.01089585,0.0018782674585217554,75,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,6,Price ($),Boss's Orders,248/193,ultra rare,9.88,2427,0.002427,0.023978760000000002,0.004133548516518044,48,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,7,Price ($),Bramblin,023/193,common,0.1,49564,0.049564,0.0049564000000000006,0.000854402807620996,211,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,7,Reverse Variant Price ($),Bramblin,023/193,common,0.17,10621,0.010621,0.0018055700000000003,0.00031125092352438094,425,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,8,Price ($),Bravery Charm,173/193,uncommon,0.35,42762,0.042762,0.0149667,0.002580015838273981,59,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,8,Reverse Variant Price ($),Bravery Charm,173/193,uncommon,0.41,10751,0.010751,0.00440791,0.0007598520457873989,237,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,9,Price ($),Calamitous Wasteland,175/193,uncommon,0.14,42984,0.042984,0.0060177600000000005,0.0010373640221913738,164,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,9,Reverse Variant Price ($),Calamitous Wasteland,175/193,uncommon,0.18,10622,0.010622,0.00191196,0.0003295908304533612,403,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,10,Price ($),Ceruledge,098/193,rare,0.23,31780,0.03178,0.007309400000000001,0.0012600217662063005,130,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,10,Reverse Variant Price ($),Ceruledge,098/193,rare,0.25,10356,0.010356,0.002589,0.00044630152306729854,308,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,11,Price ($),Cetitan,055/193,uncommon,0.18,42783,0.042783,0.00770094,0.0013275168988218934,121,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,11,Reverse Variant Price ($),Cetitan,055/193,uncommon,0.2,10731,0.010731,0.0021462000000000005,0.00036996999953921837,358,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,12,Price ($),Cetoddle,053/193,common,0.13,49366,0.049366,0.00641758,0.0011062864922387924,150,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,12,Reverse Variant Price ($),Cetoddle,053/193,common,0.19,10772,0.010772,0.00204668,0.00035281436895765876,377,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,13,Price ($),Charcadet,038/193,common,0.13,49438,0.049438,0.006426940000000001,0.0011079000041182478,148,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,13,Reverse Variant Price ($),Charcadet,038/193,common,0.21,10677,0.010677,0.00224217,0.0003865136678160698,342,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,14,Price ($),Chi-Yu ex,040/193,double rare,0.71,8150,0.00815,0.0057865,0.0009974985566739757,177,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,15,Price ($),Chi-Yu ex,234/193,ultra rare,3.99,2452,0.002452,0.00978348,0.0016865129489758417,87,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,16,Price ($),Chien-Pao ex,261/193,special illustration rare,30.89,2074,0.002074,0.06406586,0.011043913053154237,19,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,17,Price ($),Clavell,177/193,common,0.07,48863,0.048863,0.0034204100000000005,0.000589623094829903,268,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,17,Reverse Variant Price ($),Clavell,177/193,common,0.16,10848,0.010848,0.00173568,0.0002992030233902853,428,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,18,Price ($),Clavell,249/193,ultra rare,1.04,2417,0.002417,0.0025136800000000003,0.0004333175791826215,318,1000000,2026-08-23T16:55:40.603182+00:00
14323aa8-03e8-408d-a34d-351aa4a60da0,ev_representativeness_v1,19,Price ($),Copperajah ex,150/193,double rare,0.7,8266,0.008266,0.0057862,0.0009974468415496342,178,1000000,2026-08-23T16:55:40.603182+00:00
