canonicalKey,calculationRunId,packCost,ev,p50,p95,p99,stdDev,cv,gapAbsolute,gapCostNormalized,typicalCapture,relativeGap,pearsonSkew2,gmSkew,top1OutcomeShare,top5OutcomeShare,top10OutcomeShare,top1TailMean,simTopCardShare,simTop5CardShare,simTop10CardShare,simCardHhi,simEffectiveCardCount,simCardCount,horizonR80C80,horizonR80C80First,horizonR80C80Status,horizonTau20C80,horizonTau20C80First,horizonTau20C80Status,monotonicityViolations,monotonicityMaxDecrease,reconciliationStatus,reconciliationZ,reconciliationRelative,reconciliationP50Relative,reconciliationP95Relative,cardAttributionAuthoritative,financialRipV3,ripTypicalRetentionRatio,ripTotalRtpRatio,ripJackpotValueShare,ripBaseRtpExTop1,ripTrueWinProbability,ripP95ThresholdRatio,analyticHhi,analyticTop1Share,runtimeSeconds,rarityShare__special_illustration_rare,rarityCopies__special_illustration_rare,rarityShare__regular_reverse,rarityCopies__regular_reverse,rarityShare__illustration_rare,rarityCopies__illustration_rare,rarityShare__mega_attack_rare,rarityCopies__mega_attack_rare,rarityShare__mega_hyper_rare,rarityCopies__mega_hyper_rare,rarityShare__common,rarityCopies__common,rarityShare__uncommon,rarityCopies__uncommon,rarityShare__double_rare,rarityCopies__double_rare,rarityShare__rare,rarityCopies__rare,rarityShare__ultra_rare,rarityCopies__ultra_rare,rarityReconciliation,hitProb__hyper_rare,hitProb__ultra_rare,hitProb__any_premium,hitProb__double_rare,hitProb__any_top_tier,hitProb__ace_spec_rare,hitProb__illustration_rare,hitProb__special_illustration_rare,econHit__0.25x,econHit__0.50x,econHit__0.75x,econHit__1.00x,econHit__2.00x,econHit__5.00x,realize0.50@1,realize0.50@6,realize0.50@9,realize0.50@11,realize0.50@18,realize0.50@36,realize0.50@50,realize0.50@72,realize0.50@100,realize0.50@150,realize0.50@250,realize0.50@500,realize0.50@1000,realize0.70@1,realize0.70@6,realize0.70@9,realize0.70@11,realize0.70@18,realize0.70@36,realize0.70@50,realize0.70@72,realize0.70@100,realize0.70@150,realize0.70@250,realize0.70@500,realize0.70@1000,realize0.75@1,realize0.75@6,realize0.75@9,realize0.75@11,realize0.75@18,realize0.75@36,realize0.75@50,realize0.75@72,realize0.75@100,realize0.75@150,realize0.75@250,realize0.75@500,realize0.75@1000,realize0.80@1,realize0.80@6,realize0.80@9,realize0.80@11,realize0.80@18,realize0.80@36,realize0.80@50,realize0.80@72,realize0.80@100,realize0.80@150,realize0.80@250,realize0.80@500,realize0.80@1000,realize0.90@1,realize0.90@6,realize0.90@9,realize0.90@11,realize0.90@18,realize0.90@36,realize0.90@50,realize0.90@72,realize0.90@100,realize0.90@150,realize0.90@250,realize0.90@500,realize0.90@1000,realize1.00@1,realize1.00@6,realize1.00@9,realize1.00@11,realize1.00@18,realize1.00@36,realize1.00@50,realize1.00@72,realize1.00@100,realize1.00@150,realize1.00@250,realize1.00@500,realize1.00@1000,within0.10@1,within0.10@6,within0.10@9,within0.10@11,within0.10@18,within0.10@36,within0.10@50,within0.10@72,within0.10@100,within0.10@150,within0.10@250,within0.10@500,within0.10@1000,within0.20@1,within0.20@6,within0.20@9,within0.20@11,within0.20@18,within0.20@36,within0.20@50,within0.20@72,within0.20@100,within0.20@150,within0.20@250,within0.20@500,within0.20@1000,within0.25@1,within0.25@6,within0.25@9,within0.25@11,within0.25@18,within0.25@36,within0.25@50,within0.25@72,within0.25@100,within0.25@150,within0.25@250,within0.25@500,within0.25@1000,cltRatioR80C80,cltRatioTau20C80,cltHorizonR80C80,cltHorizonTau20C80,rarityShare__black_white_rare,rarityCopies__black_white_rare,rarityShare__master_ball_pattern,rarityCopies__master_ball_pattern,rarityShare__poke_ball_pattern,rarityCopies__poke_ball_pattern,rarityShare__hyper_rare,rarityCopies__hyper_rare,rarityShare__shiny_rare,rarityCopies__shiny_rare,rarityShare__shiny_ultra_rare,rarityCopies__shiny_ultra_rare,rarityShare__ace_spec_rare,rarityCopies__ace_spec_rare
ascendedHeroes,687b238f-44ef-427f-aa01-c47d24497a04,13.87,9.058324540000001,3.2699999999999996,11.6,76.57,58.76650203364697,6.487568619797648,5.788324540000001,0.41732693150684946,0.36099391069068487,0.6390060893093151,0.29549101986804704,0.8764944816409114,0.44263089518318366,0.5958128654109803,0.6504916404772576,400.94943,0.09118261873662957,0.31076517370891565,0.4426415720124091,0.027635985592093217,36.18470550535041,468,792,1000,resolved,1750,2250,resolved,40,0.05196,reconciled,0.16134272167243324,0.0014991094589330346,-0.0030581039755349674,-0.005172413793103338,True,33.0872,0.235761,0.653088,0.4426309,0.367688,0.04286,0.836337,0.052064314571657395,0.12210736363675508,33.9,0.3984312346130126,0.016895,0.19157945294864495,1.876622,0.10521921640043502,0.107061,0.0721756961910941,0.035922,0.06815867738820783,0.001907,0.0631016384404833,3.998012,0.0492993332296356,2.998509,0.02799677014000137,0.199789,0.01417567779044239,0.718113,0.00986230285804281,0.04717,6.723510637129948e-12,0.0,0.046831,0.338047,0.199587,0.060381,0.0,0.107049,0.013864,0.178345,0.078587,0.041338,0.035015,0.028054,0.01215,0.27738,0.41122,0.45266,0.47764,0.55848,0.71512,0.78794,0.85856,0.90796,0.95826,0.99,0.99968,1.0,0.16836,0.20468,0.2528,0.28664,0.35804,0.3988,0.44122,0.49316,0.55044,0.63252,0.73522,0.86522,0.95911,0.15514,0.1882,0.24172,0.27256,0.31886,0.35042,0.38864,0.4399,0.49532,0.57274,0.66366,0.79896,0.91086,0.14156,0.1773,0.23308,0.2567,0.27888,0.31528,0.34778,0.39754,0.45206,0.51658,0.59874,0.72856,0.84202,0.11608,0.16586,0.21146,0.22382,0.21396,0.25852,0.29306,0.34076,0.381,0.42246,0.49662,0.57262,0.65747,0.0943,0.16004,0.18792,0.1845,0.17538,0.22442,0.25624,0.29862,0.31816,0.3592,0.41126,0.43018,0.45469,0.04554,0.01726,0.0526,0.07274,0.05814,0.05522,0.0611,0.08396,0.10774,0.11254,0.17418,0.26356,0.37354,0.086,0.04176,0.10156,0.13244,0.13738,0.1306,0.1371,0.17792,0.20782,0.2444,0.35088,0.51334,0.68144,0.1036,0.0575,0.1209,0.15794,0.18386,0.17334,0.18772,0.23396,0.26458,0.32046,0.44514,0.61992,0.79354,1.061662198391421,1.0121457489878543,746.0,1729.0,,,,,,,,,,,,,,
blackBolt,48c725d9-21dd-4264-8f69-13043e89ff51,14.59,6.04392326,1.7999999999999998,21.43,57.61,28.006688894266507,4.633859115919104,4.24392326,0.2908789074708705,0.2978197972685709,0.7021802027314291,0.4545974652007661,0.9539715594895977,0.3253612141329538,0.5477258524953541,0.6846289176742459,196.645821,0.0722031525383811,0.2558366695425553,0.31631488669429325,0.01827432017551258,54.721597870436284,407,458,500,resolved,875,1000,resolved,29,0.04632,reconciled,0.9473007582306899,0.006223985378662804,0.0,0.00046663555762956434,True,31.8285,0.123372,0.414251,0.32536121,0.282293,0.085986,1.468814,0.046922636314560624,0.12172856325705306,28.852,0.0955895525384229,0.006828,0.06306689770894672,1.528752,0.3607928966325921,0.087626,,,,,0.08413860469829444,3.998064,0.07538078172089045,2.998548,0.011771286123187542,0.099814,0.025306064193906203,0.868967,0.011403060071281574,0.029319,3.268496584496461e-13,0.0,0.029235,0.2097,0.100465,0.03749,0.0,0.083553,0.006831,0.133657,0.117297,0.100243,0.074239,0.031094,0.006038,0.15622,0.52426,0.6243,0.65874,0.74326,0.86664,0.91552,0.95722,0.98076,0.99506,0.99966,1.0,1.0,0.1383,0.39948,0.43424,0.45884,0.50732,0.58358,0.62602,0.67586,0.72566,0.79346,0.87812,0.96258,0.99577,0.13568,0.36596,0.40004,0.41692,0.45742,0.51522,0.54816,0.5906,0.6323,0.70008,0.79272,0.90748,0.9776,0.1336,0.34064,0.3711,0.37498,0.41294,0.4476,0.47264,0.508,0.54668,0.60928,0.70265,0.82885,0.93127,0.1304,0.29274,0.30682,0.3127,0.32974,0.33946,0.35076,0.38002,0.41416,0.46872,0.543,0.64539,0.73434,0.1263,0.25588,0.25872,0.26052,0.25972,0.25766,0.2713,0.30226,0.33406,0.37162,0.42438,0.44747,0.46236,0.00798,0.06598,0.08638,0.09234,0.12334,0.1345,0.12728,0.12474,0.14018,0.17114,0.2234,0.36358,0.50012,0.01362,0.14894,0.18662,0.19166,0.24646,0.27596,0.27686,0.28932,0.32174,0.35958,0.48121,0.66526,0.8355,0.01698,0.18994,0.22756,0.25078,0.30792,0.35482,0.36296,0.38872,0.42722,0.47212,0.61092,0.78706,0.91944,1.2020997375328084,0.9920634920634921,381.0,882.0,0.14279419887934833,0.001416,0.09940895411037586,0.052053,0.030347703322753886,0.328613,,,,,,,,
chaosRising,d2572d76-ef4d-4478-b2c1-38dcd65e0c25,5.54,2.83880102,1.24,6.97,28.36,11.024491971072724,3.883502892031765,1.59880102,0.2885922418772563,0.4368041265533996,0.5631958734466004,0.43506794440826213,0.9093386528890157,0.30398586724475674,0.45192220622775453,0.5438937491997942,86.295539,0.13668259067880859,0.3029827872071303,0.41565343156265694,0.03165014283694497,31.595434028585412,198,333,500,resolved,625,750,resolved,24,0.07150000000000001,reconciled,0.12986791644406592,0.0007137414654023918,0.0,0.0,True,33.0334,0.223827,0.512419,0.30398587,0.360253,0.065252,1.258123,0.07896582610824593,0.22052421896593663,6.536,0.2602700593646422,0.011919,0.1492765632447223,1.875922,0.1648337614024258,0.111095,,,0.06502886207922273,0.001064,0.094225438174547,4.0,0.08774905611387575,3.0,0.04571502866372418,0.199925,0.04256525172014707,0.717898,0.09033597923669297,0.082177,9.71667191151937e-13,0.0,0.082271,0.371714,0.200376,0.094338,0.0,0.110665,0.012067,0.192754,0.107684,0.06204,0.057647,0.013073,0.009144,0.3726,0.71608,0.7998,0.83886,0.91928,0.98388,0.9949,0.99896,0.99986,1.0,1.0,1.0,1.0,0.20674,0.41014,0.45412,0.47684,0.52274,0.62228,0.67614,0.73918,0.80158,0.87044,0.94091,0.99,0.99972,0.19802,0.36378,0.3945,0.4024,0.43722,0.5225,0.57122,0.6323,0.68972,0.7615,0.85392,0.9519,0.99404,0.19332,0.31864,0.33738,0.34048,0.36828,0.44444,0.48756,0.53682,0.58686,0.65412,0.75029,0.88401,0.9671,0.1823,0.2526,0.24546,0.24668,0.27604,0.33434,0.36146,0.39536,0.428,0.48654,0.59123,0.68831,0.78564,0.16482,0.19346,0.18594,0.19378,0.22474,0.26078,0.2806,0.30156,0.33326,0.40228,0.44882,0.45887,0.46728,0.04082,0.1046,0.0922,0.08454,0.08682,0.12192,0.13762,0.14882,0.1398,0.14442,0.30086,0.42736,0.5845,0.06746,0.19918,0.20438,0.19982,0.20598,0.26618,0.30176,0.3191,0.32098,0.41198,0.55561,0.75239,0.90314,0.07844,0.2541,0.2691,0.269,0.28768,0.35872,0.39728,0.42242,0.43588,0.56684,0.69614,0.86202,0.96148,1.242537313432836,1.0080645161290323,268.0,620.0,,,,,,,,,,,,,,
destinedRivals,5a4f1a2c-216b-44f0-bd80-7a683a6b9d68,9.44,4.47159789,1.86,11.66,62.93,19.318401776814962,4.320245749291863,2.6115978899999996,0.27665231885593217,0.4159586898812138,0.5840413101187862,0.4055611722188608,0.9181361435915745,0.312624666704993,0.5131978828266242,0.6010316392738078,139.79317999999998,0.10588292506116286,0.26932686538262207,0.3713238682898083,0.02258819321228312,44.27091580995575,409,375,500,resolved,750,750,resolved,17,0.0373,reconciled,-1.0178076163493879,-0.006183791718356095,-1.1937881985216736e-16,-0.0017152658662093782,True,32.6367,0.197034,0.473686,0.31262467,0.328889,0.060909,1.235169,0.05579953074510982,0.16989048802526252,6.739,0.2803561793432416,0.010627,0.12169475954399062,1.899331,0.22647424587631135,0.083465,,,,,0.11292616474506666,4.0,0.09812000783456785,3.0,0.03286167128945791,0.198801,0.036024363988603425,0.739735,0.05477161543253479,0.061464,1.3624656958199921e-12,0.006657,0.061379,0.336356,0.198587,0.078577,0.0,0.083095,0.010541,0.133457,0.090976,0.065952,0.052966,0.031147,0.010451,0.25944,0.56798,0.65598,0.69838,0.8041,0.92286,0.9613,0.98598,0.9955,0.99964,1.0,1.0,1.0,0.15214,0.35156,0.39294,0.41318,0.4965,0.59756,0.65576,0.71912,0.77568,0.84556,0.92299,0.98323,0.99892,0.14494,0.3207,0.34692,0.3747,0.44974,0.52814,0.57884,0.63092,0.68644,0.75614,0.84551,0.93997,0.98938,0.13962,0.29092,0.31718,0.3459,0.40338,0.47108,0.50716,0.5516,0.5998,0.6618,0.74731,0.86153,0.95092,0.13156,0.237,0.27696,0.30072,0.31856,0.3702,0.38992,0.41874,0.45062,0.49138,0.5522,0.6526,0.75076,0.12484,0.20774,0.24724,0.25432,0.25974,0.29322,0.30356,0.3202,0.3406,0.3638,0.39998,0.44453,0.45814,0.01692,0.04406,0.06322,0.09308,0.09274,0.13408,0.14878,0.168,0.18692,0.21652,0.257,0.38282,0.53352,0.03314,0.11748,0.13648,0.17198,0.2063,0.27834,0.31076,0.34756,0.39298,0.44644,0.53557,0.71179,0.86996,0.0423,0.15186,0.18438,0.21348,0.2714,0.3531,0.40078,0.4462,0.501,0.56162,0.67155,0.83165,0.94222,1.1329305135951662,0.9778357235984355,331.0,767.0,,,,,,,0.0367709919462257,0.006577,,,,,,
journeyTogether,75220055-ecfe-4bcc-81dd-a85bc6b268f4,6.4,3.44404084,1.8900000000000001,9.17,24.53,6.798821800092432,1.9740828044572292,1.5540408399999999,0.24281888124999998,0.5487739802760295,0.4512260197239705,0.6857250648835387,0.8636345059666406,0.1665112426483305,0.36069634121992583,0.45692653865277627,57.347152,0.05888227659267215,0.21061389892867793,0.3211657799766382,0.014457459347626952,69.16844626397929,333,150,72,resolved,150,150,resolved,18,0.02976,reconciled,-0.7294140944135898,-0.0020324439590559207,0.0,-0.0021810250817885877,True,38.4388,0.295312,0.538131,0.16651124,0.453057,0.076227,1.432812,0.051894059656143104,0.11725020328593347,3.559,0.17061257032010235,0.011656,0.1855154772210854,1.8979,0.20342067139945888,0.083125,,,,,0.17666302122007763,4.0,0.09975813759510611,3.0,0.054762640387232435,0.198538,0.04410350430088396,0.73613,0.04152800929036659,0.065332,1.1617373729677638e-12,0.007238,0.065274,0.340415,0.197703,0.083907,0.0,0.083342,0.011395,0.191518,0.105423,0.075033,0.052548,0.039173,0.009508,0.66722,0.9571,0.98576,0.99256,0.99904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27608,0.5274,0.59942,0.63398,0.72874,0.8682,0.91886,0.95842,0.98188,0.995776,0.99979,1.0,1.0,0.25068,0.45946,0.5216,0.55416,0.6493,0.78644,0.8413,0.89636,0.93908,0.975148,0.99556,0.99989,1.0,0.23154,0.40514,0.4597,0.48996,0.58166,0.69398,0.74836,0.80866,0.86016,0.91956,0.97007,0.99681,0.99996,0.19788,0.3251,0.37334,0.4058,0.45514,0.52152,0.55668,0.60416,0.64504,0.703472,0.77667,0.87782,0.95496,0.16276,0.27126,0.32442,0.33512,0.34102,0.37956,0.39794,0.41648,0.43132,0.44678,0.45786,0.47065,0.4794,0.06028,0.08322,0.10262,0.14166,0.1874,0.2439,0.28002,0.3244,0.37536,0.460976,0.57479,0.74593,0.89332,0.10912,0.18148,0.24176,0.2861,0.36752,0.49016,0.5528,0.62702,0.70648,0.805092,0.90227,0.9761,0.9979,0.13332,0.24982,0.32918,0.37158,0.45974,0.61186,0.67426,0.7529,0.82604,0.899176,0.95961,0.99299,0.99966,2.142857142857143,0.9316770186335404,70.0,161.0,,,,,,,0.02363596826568656,0.007319,,,,,,
megaEvolution,bc40be6a-0eef-4545-b200-91a1ce4e027e,8.3,3.79534727,1.7,9.46,23.95,13.173287470757007,3.470904382026946,2.0953472700000004,0.25245147831325304,0.44791685162448913,0.5520831483755109,0.47718094848793063,0.8926771049975353,0.28158483637256204,0.46381424274780536,0.5564494760976115,106.871224,0.051347538731778726,0.2017419770211422,0.31819940297601823,0.014774172318993705,67.68568677883891,310,250,250,resolved,500,500,resolved,19,0.033519999999999994,reconciled,0.09575074985801156,0.0004707421674223327,0.0,-1.877755644186311e-16,True,30.5196,0.204819,0.457271,0.28158484,0.331829,0.058837,1.139759,0.03626298824030813,0.08497193772935446,5.557,0.22811692011533866,0.009891,0.11863875634161976,1.878757,0.1969497932136841,0.110555,,,0.05063465773453184,0.000797,0.11936078513320736,4.0,0.10662562638183244,3.0,0.038459882486636156,0.199446,0.03833521405277188,0.718316,0.10287836454037771,0.082238,-2.7773339184022916e-12,0.0,0.082393,0.369136,0.199619,0.092202,0.0,0.11064,0.009809,0.158275,0.101323,0.060342,0.04171,0.02936,0.007678,0.3693,0.68342,0.77056,0.81282,0.90374,0.97656,0.99256,0.99878,0.99984,1.0,1.0,1.0,1.0,0.1905,0.3955,0.44526,0.47734,0.5615,0.66514,0.71576,0.77982,0.83518,0.89938,0.959176,0.994996,0.999868,0.18282,0.35524,0.3995,0.428,0.50058,0.5715,0.61802,0.6769,0.73538,0.8066,0.89184,0.97154,0.997304,0.17754,0.31512,0.36362,0.38754,0.43468,0.48828,0.52896,0.5807,0.6369,0.70772,0.804044,0.918076,0.980588,0.16334,0.26692,0.30472,0.32552,0.32136,0.3655,0.39266,0.43432,0.47754,0.54428,0.628504,0.7169,0.814772,0.14538,0.23298,0.26322,0.24992,0.24738,0.28492,0.30544,0.34022,0.38158,0.43046,0.442844,0.458732,0.469716,0.03528,0.06192,0.10206,0.13298,0.1212,0.13298,0.14414,0.14826,0.15592,0.23008,0.340468,0.474688,0.638048,0.06474,0.12768,0.20566,0.23178,0.26644,0.29368,0.31594,0.33024,0.38104,0.49778,0.629932,0.811796,0.935364,0.0743,0.17496,0.25774,0.28544,0.34428,0.39072,0.41672,0.44198,0.51638,0.63412,0.760052,0.904772,0.977252,1.1682242990654206,1.0101010101010102,214.0,495.0,,,,,,,,,,,,,,
obsidianFlames,528199b8-05af-4ba9-9bc5-8d5ed376685c,13.09,4.36567297,1.8299999999999998,16.8,41.89,10.133849599116388,2.3212571506739286,2.5356729700000002,0.19371069289534,0.41917935964864533,0.5808206403513547,0.7506544117906869,0.9236767360986564,0.18303811473995957,0.4388403834105788,0.5632710963230946,79.908455,0.13416132538345105,0.338210191352262,0.4526125882577798,0.03329861985128086,30.031274703462948,406,150,150,resolved,250,250,resolved,16,0.03512,reconciled,-0.03361696452796461,-0.00011024646218531868,0.0,0.0,True,27.8688,0.139801,0.333512,0.18303811,0.275219,0.064942,1.283422,0.08624222284715255,0.21659124500473176,3.705,0.18055404640176728,0.031517,0.12507168396515606,1.872655,0.2772001586734664,0.076291,,,,,0.12623287263776495,4.0,0.10688004649144876,3.0,0.04029863693615091,0.139779,0.030101922636649826,0.796464,0.05111373470560961,0.063757,-1.2665424264923786e-12,0.019291,0.063457,0.310934,0.140534,0.114066,0.0,0.076897,0.031318,0.125363,0.0794,0.073001,0.060284,0.024557,0.00531,0.32832,0.65334,0.7498,0.79792,0.8932,0.97768,0.99264,0.9986,0.9997,0.999996,1.0,1.0,1.0,0.18022,0.43048,0.52096,0.56064,0.64902,0.77632,0.8289,0.88552,0.9286,0.968724,0.99314,0.999764,1.0,0.17458,0.4047,0.48428,0.5136,0.59028,0.70748,0.75992,0.8196,0.86864,0.926284,0.973484,0.997608,0.99988,0.16956,0.38754,0.44654,0.47216,0.54104,0.6377,0.68658,0.74276,0.79512,0.86034,0.92752,0.983908,0.99874,0.15822,0.34476,0.37968,0.39912,0.46304,0.5057,0.54328,0.58474,0.62316,0.673032,0.739132,0.832848,0.91896,0.13986,0.30102,0.32518,0.34038,0.3718,0.39786,0.42178,0.43778,0.4485,0.458764,0.467912,0.478576,0.48084,0.0329,0.08218,0.0993,0.09434,0.16422,0.18852,0.21904,0.271,0.3233,0.397384,0.503024,0.66552,0.82898,0.05046,0.15196,0.19332,0.2005,0.30154,0.38504,0.44492,0.53182,0.61006,0.713416,0.832208,0.948036,0.9933,0.05944,0.1834,0.24014,0.2695,0.37434,0.48344,0.55482,0.64768,0.72584,0.823344,0.916644,0.983556,0.999,1.5625,1.1261261261261262,96.0,222.0,,,,,,,0.0625468975519862,0.019537,,,,,,
paldeaEvolved,14323aa8-03e8-408d-a34d-351aa4a60da0,16.05,5.772340799999999,1.69,22.29,62.45,20.584753143077897,3.566101492669646,4.082340799999999,0.25435145171339557,0.2927755062556251,0.7072244937443749,0.5949560004375541,0.9506629246804249,0.25666026683663584,0.5281646624191004,0.6698820277555337,148.153053,0.14167968551826027,0.2648325570289827,0.3689614822133846,0.029087911003397506,34.37854302714274,455,250,250,resolved,500,500,confirmation_did_not_ratify,22,0.02338,reconciled,0.9785672470670806,0.004966806533668481,0.0,0.0,True,29.5973,0.105296,0.359647,0.25666027,0.270041,0.074441,1.388785,0.052047016194741384,0.19019247749921894,5.066,0.14213040054743448,0.031485,0.07295856301464221,1.873898,0.5043792147546292,0.077216,,,,,0.09300883274254432,4.0,0.07251020764403003,3.0,0.025228470571255306,0.141051,0.02460664311441077,0.795764,0.04590066650259086,0.063185,-1.922018100231071e-12,0.017671,0.064001,0.309029,0.139879,0.112971,0.0,0.076862,0.031299,0.147176,0.117076,0.087531,0.068429,0.038329,0.006488,0.17974,0.54296,0.6374,0.67678,0.775,0.89764,0.93984,0.97448,0.99022,0.9981,0.999916,1.0,1.0,0.16026,0.4147,0.45872,0.4899,0.56272,0.6731,0.72326,0.78152,0.83118,0.89062,0.95096,0.991932,0.99974,0.15804,0.38476,0.42364,0.46174,0.5194,0.61288,0.6553,0.70888,0.75462,0.81736,0.8931,0.96734,0.996464,0.15548,0.36038,0.40072,0.43192,0.48054,0.55224,0.58882,0.63124,0.66952,0.73082,0.810504,0.912368,0.977124,0.14916,0.30956,0.36056,0.35924,0.40506,0.44104,0.45864,0.4802,0.50242,0.54764,0.614384,0.709196,0.807652,0.14038,0.27194,0.29904,0.31646,0.33744,0.34768,0.3497,0.3566,0.36864,0.40022,0.439244,0.456632,0.470496,0.01874,0.05552,0.09468,0.07744,0.12612,0.17136,0.19344,0.21164,0.22254,0.24644,0.3226,0.462952,0.622964,0.02886,0.12376,0.1618,0.18638,0.24652,0.34296,0.38508,0.42132,0.44434,0.50802,0.63218,0.798752,0.92718,0.03268,0.1631,0.1952,0.23706,0.3074,0.42792,0.47482,0.51898,0.54948,0.63158,0.756884,0.895048,0.973452,1.1061946902654867,0.9560229445506692,226.0,523.0,,,,,,,0.01927700110846291,0.017401,,,,,,
paldeanFates,993f324e-2189-472f-9149-02dfd800b200,23.1,7.62288221,1.76,16.75,55.36,49.36895201498372,6.476415436436833,5.86288221,0.25380442467532466,0.23088379847863344,0.7691162015213666,0.35626939426750964,0.9283723698955901,0.447802288683141,0.6062460317093106,0.6881336842800303,341.35441,0.2760218243173372,0.46236360979423236,0.5254711276085601,0.08923261420600777,11.206664837716621,326,833,1000,resolved,1750,2250,resolved,35,0.08148,reconciled,-0.4943930964474297,-0.004501932347187716,0.0,0.0005970149253730155,True,19.3675,0.07619,0.329995,0.44780229,0.184063,0.035727,0.725108,0.12614101047564635,0.3299159942668417,33.861,0.4345120190438102,0.017091,0.04910408552671538,1.573481,0.024235733271311954,0.071229,,,,,0.0461745833535582,4.0,0.04611885377666711,3.0,0.022104855533398308,0.158878,0.016469985569928663,0.778582,0.006298617593356598,0.06254,-5.293543381412746e-13,0.016155,0.063099,0.538421,0.159237,0.096553,0.0,0.071537,0.017299,0.142634,0.065521,0.041472,0.035411,0.014488,0.006417,0.30918,0.46194,0.51218,0.53858,0.61824,0.73484,0.79152,0.85048,0.90044,0.9496,0.9859,0.99938,1.0,0.2053,0.28078,0.30894,0.3205,0.3473,0.39092,0.42516,0.48056,0.53828,0.61668,0.70764,0.84182,0.94833,0.19478,0.25454,0.27734,0.28628,0.30184,0.33864,0.3746,0.42992,0.48298,0.55006,0.63192,0.778,0.90164,0.1831,0.2329,0.2505,0.25616,0.26434,0.29902,0.33816,0.39022,0.43758,0.48868,0.5688,0.72378,0.83406,0.1561,0.1966,0.20578,0.20514,0.20856,0.24976,0.29036,0.33164,0.35794,0.39392,0.48564,0.59518,0.66069,0.14288,0.17008,0.17024,0.1648,0.17104,0.22314,0.25424,0.28186,0.29088,0.33822,0.44234,0.4383,0.4636,0.0328,0.04992,0.06638,0.06716,0.06208,0.0487,0.06364,0.0982,0.1072,0.08514,0.10646,0.26696,0.36888,0.0724,0.10676,0.13268,0.13644,0.1332,0.11732,0.13822,0.19124,0.20896,0.1952,0.285,0.49372,0.66858,0.0887,0.13568,0.16784,0.17468,0.1755,0.1651,0.18898,0.24232,0.2627,0.26058,0.39308,0.59466,0.78256,1.1211305518169583,1.0156703424260012,743.0,1723.0,,,,,,,0.023230759064818893,0.016042,0.2739229496765131,0.246503,0.0578275575899216,0.075654,,
paradoxRift,73be42a8-991a-46b5-9ae3-c810f48e7664,8.4,3.9621937000000003,1.5699999999999998,16.63,47.81,9.1515001752762,2.309705397612489,2.3921937000000004,0.2847849642857143,0.39624514066538435,0.6037548593346156,0.78419723133354,0.9197503799661001,0.1752015808818231,0.4524216698441573,0.5939665796752946,69.41826,0.06809555583904274,0.1787244509201297,0.26954261231344,0.012702000461092025,78.72775655009127,428,150,100,resolved,250,250,resolved,15,0.0198,reconciled,0.23359798665658735,0.0007635719576253233,0.0,0.0,True,38.488,0.186905,0.47169,0.17520158,0.392979,0.091377,1.979762,0.029156491610272034,0.10629970162127725,3.776,0.11004274223139826,0.021179,0.10306553917335808,1.889725,0.4311333946142703,0.076857,,,,,0.11850241698175844,4.0,0.09495461567161044,3.0,0.03830897262795597,0.164503,0.03383666982260982,0.77144,0.052314082978838654,0.064057,6.319389456166391e-13,0.012359,0.064346,0.317327,0.164017,0.097772,0.0,0.076939,0.021067,0.155522,0.107637,0.097762,0.08206,0.045392,0.010367,0.27652,0.59382,0.69722,0.75142,0.86408,0.9629,0.98514,0.9965,0.9995,0.999964,1.0,1.0,1.0,0.17312,0.4526,0.5231,0.5592,0.64762,0.77446,0.8302,0.88634,0.93024,0.967648,0.992404,0.999748,1.0,0.1663,0.42512,0.48656,0.51908,0.60104,0.71384,0.76848,0.82404,0.87558,0.927244,0.973184,0.99752,1.0,0.1604,0.4007,0.4554,0.48322,0.55606,0.65136,0.69928,0.75378,0.80602,0.862836,0.928648,0.9834,0.99886,0.14554,0.3509,0.39544,0.41914,0.4704,0.5306,0.5585,0.59454,0.62914,0.675956,0.739896,0.832744,0.92208,0.13046,0.31632,0.34734,0.36694,0.39366,0.41632,0.4279,0.441,0.44978,0.460356,0.469584,0.479152,0.4843,0.0221,0.06866,0.085,0.10064,0.14434,0.20928,0.24048,0.28228,0.33176,0.401944,0.505596,0.66796,0.83138,0.04026,0.14888,0.18224,0.20936,0.28608,0.4075,0.46586,0.54192,0.62254,0.718108,0.834488,0.948904,0.99312,0.04812,0.18608,0.23018,0.2643,0.35912,0.50072,0.57044,0.65278,0.73462,0.825968,0.917976,0.984272,0.9992,1.5789473684210527,1.1363636363636365,95.0,220.0,,,,,,,0.017841565898200146,0.012239,,,,,,
