set_canonical_key,market_date,calculation_run_id,contract_version,ev,p50,pack_cost,typical_capture,top1_outcome_ev_share,horizon_r80_c80_stable,horizon_tau20_c80_stable,coefficient_of_variation,financial_rip,bucket_under_25,bucket_recover_25_50,bucket_recover_50_75,bucket_recover_75_100,bucket_recover_100_150,bucket_recover_150_200,bucket_recover_200_500,bucket_recover_500_plus,prob_below_25,prob_below_50,prob_below_75,prob_at_least_100,prob_at_least_150,prob_at_least_200,prob_at_least_500
surgingSparks,2026-08-17,c8fa7886-18d7-4c33-8904-04df1191c202,opening_outcome_profile_v1,3.539430459999999,1.6,8.07,0.4520501301217825,0.26404365350915804,292,542,3.6022532927526605,31.0588,0.746496,0.125352,0.038064,0.023473,0.036169,0.010756,0.015488,0.004202,0.746496,0.8718480000000001,0.909912,0.06661500000000001,0.030446,0.01969,0.004202
ascendedHeroes,2026-08-17,d023c938-042f-42b0-8f2e-c2b9c9b378e9,opening_outcome_profile_v1,9.365745829999998,3.3499999999999996,13.25,0.357686409689809,0.4467929736675333,833,1750,6.60586490956783,35.1445,0.491935,0.34467,0.079599,0.037625,0.011106,0.006416,0.015086,0.013563,0.491935,0.836605,0.916204,0.046171,0.035065,0.028649,0.013563
perfectOrder,2026-08-17,16d711b2-e585-4c4a-aa78-ee90bffef779,opening_outcome_profile_v1,3.099203919999999,1.53,5.35,0.4936751628786016,0.2364303733844012,150,292,2.718360532098687,40.2501,0.317621,0.48143,0.098788,0.01545,0.051762,0.002438,0.021442,0.011069,0.317621,0.799051,0.8978389999999999,0.086711,0.034949,0.032511,0.011069
phantasmalFlames,2026-08-17,105c6049-3d0e-4ad8-bdd0-f3ffe82e3283,opening_outcome_profile_v1,4.541990499999998,1.5599999999999998,10.3,0.3434617487641158,0.45579399604644705,1167,2438,7.656948339882191,23.026,0.799654,0.09583,0.062036,0.006993,0.001897,0.011948,0.018502,0.00314,0.799654,0.895484,0.9575199999999999,0.035487,0.03359,0.021642,0.00314
blackBolt,2026-08-17,0de3387e-3756-451c-bfcc-9931bb63d8ed,opening_outcome_profile_v1,6.076951000000003,1.83,14.99,0.30113785679693633,0.32268683094532113,417,875,4.58620145643591,31.2247,0.848664,0.028926,0.015763,0.02322,0.035957,0.013694,0.027634,0.006142,0.848664,0.87759,0.893353,0.08342699999999999,0.04747,0.033776,0.006142
paldeaEvolved,2026-08-17,0a58cd45-5166-48c6-8b20-3927bc11cd9d,opening_outcome_profile_v1,5.790641869999997,1.72,16.07,0.29703097490986796,0.25595626586383935,250,542,3.5759522332116793,29.6596,0.839713,0.040307,0.023665,0.021325,0.030357,0.004382,0.03398,0.006271,0.839713,0.88002,0.9036850000000001,0.07499,0.044633,0.040251,0.006271
paradoxRift,2026-08-17,109d3f0e-502a-4db5-8fd1-2c8274a5c0cf,opening_outcome_profile_v1,3.952140910000001,1.54,8.41,0.3896622198118942,0.17843810381750785,150,250,2.3614930243187193,38.2479,0.7682,0.106752,0.018338,0.016141,0.025114,0.016711,0.036796,0.011948,0.7682,0.874952,0.8932899999999999,0.090569,0.065455,0.048744,0.011948
chaosRising,2026-08-17,6c909305-6a8d-4801-848b-32e2209e0076,opening_outcome_profile_v1,3.1135194300000006,1.41,5.67,0.4528637227743267,0.28700021313179985,292,583,3.6933135128485146,35.704,0.506462,0.316813,0.064658,0.039179,0.02496,0.027063,0.009992,0.010873,0.506462,0.823275,0.887933,0.07288800000000001,0.047928,0.020865,0.010873
journeyTogether,2026-08-17,566f66f8-5755-45eb-b359-f42523dd73f8,opening_outcome_profile_v1,3.37730078,1.8199999999999998,6.27,0.5388918898718875,0.16960091425437088,150,250,2.012417680280401,38.647,0.228071,0.572798,0.094465,0.027216,0.028179,0.009548,0.029984,0.009739,0.228071,0.800869,0.8953340000000001,0.07744999999999999,0.049270999999999995,0.039723,0.009739
obsidianFlames,2026-08-17,f854d62d-53e4-40de-81bd-d2638423bdb0,opening_outcome_profile_v1,4.326216069999998,1.8099999999999998,12.92,0.418379473126963,0.18144336235152492,150,250,2.3051453778901374,27.9877,0.826492,0.064031,0.035575,0.010262,0.02212,0.016364,0.019967,0.005189,0.826492,0.890523,0.926098,0.06364,0.04152,0.025155999999999998,0.005189
pitchBlack,2026-08-17,6a714ee9-9d56-47af-8195-e595f34be1d8,opening_outcome_profile_v1,3.6851466399999997,1.5,6.03,0.407039433307327,0.29450815015600035,250,500,3.4855131075870203,41.0822,0.509402,0.303058,0.054899,0.039948,0.032938,0.024977,0.021324,0.013454,0.509402,0.81246,0.867359,0.092693,0.059754999999999996,0.034778,0.013454
twilightMasquerade,2026-08-17,a2b49b31-69a7-4f22-8181-4edd8699ecdb,opening_outcome_profile_v1,4.6820548199999985,1.99,8.79,0.42502706108853305,0.2502573966017767,250,417,3.3110243100576717,37.1265,0.618479,0.203355,0.057744,0.044479,0.015973,0.032684,0.015748,0.011538,0.618479,0.821834,0.879578,0.07594300000000001,0.05997,0.027286,0.011538
destinedRivals,2026-08-17,fb119198-3176-493d-9c1a-b0b51dc6d39a,opening_outcome_profile_v1,4.492739040000001,1.84,8.48,0.40954971646873123,0.31548265932668096,375,792,4.386728517957499,35.6929,0.706485,0.163421,0.03984,0.023177,0.023922,0.01154,0.021125,0.01049,0.706485,0.8699060000000001,0.909746,0.067077,0.043155,0.031615000000000004,0.01049
megaEvolution,2026-08-17,178472f0-bccd-4f4a-8393-507e205dda3c,opening_outcome_profile_v1,3.95883915,1.82,8.44,0.4597307268722954,0.27768275707791773,250,500,3.3932169712007414,30.9319,0.6678,0.201149,0.043143,0.028779,0.016639,0.012194,0.022444,0.007852,0.6678,0.868949,0.912092,0.059129,0.04249,0.030295999999999997,0.007852
scarletAndViolet151,2026-08-17,46853402-13dd-44a7-bdf5-291eda6a92e5,opening_outcome_profile_v1,12.730332689999997,3.8900000000000006,28.86,0.3055693904257267,0.19629008925767513,150,292,2.569248077669898,36.4918,0.777513,0.078347,0.036337,0.017991,0.012416,0.017284,0.054591,0.005521,0.777513,0.8558600000000001,0.892197,0.089812,0.07739599999999999,0.060112,0.005521
