set_name,card_name,card_number,rarity,printing_type,market_price,rank_in_set_by_price,human_label,labeler_id,label_confidence,notes
Base,,,,holo,868.56,1,,,,
Base,,,,holo,225.89,2,,,,
Base,,,,holo,181.68,3,,,,
Base,,,,holo,76.86,4,,,,
Base,,,,holo,76.52,5,,,,
Base,,,,holo,69.59,6,,,,
Base,,,,holo,62.57,7,,,,
Base,,,,holo,56.69,8,,,,
Base,,,,holo,48.74,9,,,,
Base,,,,holo,48.66,10,,,,
Base,,,,holo,40.07,11,,,,
Base,,,,holo,35.19,12,,,,
Base,,,,holo,33.93,13,,,,
Base,,,,holo,33.87,14,,,,
Base,,,,holo,28.71,15,,,,
Base,,,,holo,19.83,16,,,,
Base,,,,non-holo,16.82,17,,,,
Base,,,,non-holo,16.54,18,,,,
Base,,,,non-holo,11.1,19,,,,
Base,,,,non-holo,10.96,20,,,,
Fossil,,,,holo,601.49,1,,,,
Fossil,,,,holo,188.98,2,,,,
Fossil,,,,holo,151.08,3,,,,
Fossil,,,,holo,117.42,4,,,,
Fossil,,,,holo,117.29,5,,,,
Fossil,,,,holo,80.06,6,,,,
Fossil,,,,holo,79.54,7,,,,
Fossil,,,,holo,65.68,8,,,,
Fossil,,,,holo,58.05,9,,,,
Fossil,,,,holo,52.29,10,,,,
Fossil,,,,holo,50.21,11,,,,
Fossil,,,,holo,45.87,12,,,,
Fossil,,,,holo,42.85,13,,,,
Fossil,,,,holo,41.0,14,,,,
Fossil,,,,non-holo,40.4,15,,,,
Fossil,,,,non-holo,34.85,16,,,,
Fossil,,,,holo,26.22,17,,,,
Fossil,,,,non-holo,25.78,18,,,,
Fossil,,,,non-holo,24.16,19,,,,
Fossil,,,,non-holo,23.92,20,,,,
Champion's Path,,,,holo,268.24,1,,,,
Champion's Path,,,,holo,228.7,2,,,,
Champion's Path,,,,holo,18.89,3,,,,
Champion's Path,,,,holo,7.02,4,,,,
Champion's Path,,,,holo,6.83,5,,,,
Champion's Path,,,,holo,4.75,6,,,,
Champion's Path,,,,holo,4.59,7,,,,
Champion's Path,,,,holo,3.97,8,,,,
Champion's Path,,,,holo,3.93,9,,,,
Champion's Path,,,,holo,2.82,10,,,,
Champion's Path,,,,holo,2.55,11,,,,
Champion's Path,,,,holo,2.43,12,,,,
Champion's Path,,,,holo,2.25,13,,,,
Champion's Path,,,,holo,2.23,14,,,,
Champion's Path,,,,holo,1.88,15,,,,
Champion's Path,,,,holo,1.75,16,,,,
Champion's Path,,,,holo,1.71,17,,,,
Champion's Path,,,,holo,1.67,18,,,,
Champion's Path,,,,holo,1.49,19,,,,
Champion's Path,,,,holo,1.47,20,,,,
Cosmic Eclipse,,,,holo,568.04,1,,,,
Cosmic Eclipse,,,,holo,494.2,2,,,,
Cosmic Eclipse,,,,holo,418.85,3,,,,
Cosmic Eclipse,,,,holo,320.63,4,,,,
Cosmic Eclipse,,,,holo,271.65,5,,,,
Cosmic Eclipse,,,,holo,268.38,6,,,,
Cosmic Eclipse,,,,holo,247.88,7,,,,
Cosmic Eclipse,,,,holo,234.68,8,,,,
Cosmic Eclipse,,,,holo,225.09,9,,,,
Cosmic Eclipse,,,,holo,207.32,10,,,,
Cosmic Eclipse,,,,holo,183.42,11,,,,
Cosmic Eclipse,,,,holo,138.07,12,,,,
Cosmic Eclipse,,,,holo,134.38,13,,,,
Cosmic Eclipse,,,,holo,129.82,14,,,,
Cosmic Eclipse,,,,holo,126.49,15,,,,
Cosmic Eclipse,,,,holo,121.8,16,,,,
Cosmic Eclipse,,,,holo,106.18,17,,,,
Cosmic Eclipse,,,,holo,102.85,18,,,,
Cosmic Eclipse,,,,holo,98.75,19,,,,
Cosmic Eclipse,,,,holo,94.31,20,,,,
Evolving Skies,,,,holo,2310.74,1,,,,
Evolving Skies,,,,holo,1249.13,2,,,,
Evolving Skies,,,,holo,538.69,3,,,,
Evolving Skies,,,,holo,484.62,4,,,,
Evolving Skies,,,,holo,412.53,5,,,,
Evolving Skies,,,,holo,390.25,6,,,,
Evolving Skies,,,,holo,390.07,7,,,,
Evolving Skies,,,,holo,310.98,8,,,,
Evolving Skies,,,,holo,239.44,9,,,,
Evolving Skies,,,,holo,204.96,10,,,,
Evolving Skies,,,,holo,160.56,11,,,,
Evolving Skies,,,,holo,152.92,12,,,,
Evolving Skies,,,,holo,125.19,13,,,,
Evolving Skies,,,,holo,84.43,14,,,,
Evolving Skies,,,,holo,81.73,15,,,,
Evolving Skies,,,,holo,74.37,16,,,,
Evolving Skies,,,,holo,60.47,17,,,,
Evolving Skies,,,,holo,59.61,18,,,,
Evolving Skies,,,,holo,49.13,19,,,,
Evolving Skies,,,,holo,43.68,20,,,,
Ascended Heroes,,,,holo,1033.08,1,,,,
Ascended Heroes,,,,holo,975.64,2,,,,
Ascended Heroes,,,,holo,645.8,3,,,,
Ascended Heroes,,,,holo,387.31,4,,,,
Ascended Heroes,,,,holo,341.22,5,,,,
Ascended Heroes,,,,holo,305.62,6,,,,
Ascended Heroes,,,,holo,234.9,7,,,,
Ascended Heroes,,,,holo,154.89,8,,,,
Ascended Heroes,,,,holo,149.95,9,,,,
Ascended Heroes,,,,holo,128.9,10,,,,
Ascended Heroes,,,,holo,86.46,11,,,,
Ascended Heroes,,,,holo,84.27,12,,,,
Ascended Heroes,,,,holo,78.16,13,,,,
Ascended Heroes,,,,holo,71.64,14,,,,
Ascended Heroes,,,,holo,65.44,15,,,,
Ascended Heroes,,,,holo,60.24,16,,,,
Ascended Heroes,,,,holo,59.98,17,,,,
Ascended Heroes,,,,holo,58.17,18,,,,
Ascended Heroes,,,,holo,55.99,19,,,,
Ascended Heroes,,,,holo,55.99,20,,,,
Phantasmal Flames,,,,holo,701.95,1,,,,
Phantasmal Flames,,,,holo,273.86,2,,,,
Phantasmal Flames,,,,holo,26.9,3,,,,
Phantasmal Flames,,,,holo,21.67,4,,,,
Phantasmal Flames,,,,holo,20.42,5,,,,
Phantasmal Flames,,,,holo,19.37,6,,,,
Phantasmal Flames,,,,holo,18.3,7,,,,
