card_name,set_name,rarity,subject_name,market_price,predicted_price,predicted_log_price,log_price,card_scarcity,subject_demand,card_chase_appeal,pull_probability,alternative_printings_of_subject,set_age_days
Umbreon ex,Prismatic Evolutions,Special Illustration Rare,Umbreon,1511.45,311.13,5.74021,7.320824733950237,1.0,74.8369,0.496738,0.0006944444444444445,2,544
Mega Gengar ex,Ascended Heroes,Special Illustration Rare,Gengar,1315.52,247.44,5.51116,7.181987303709514,1.0,83.4567,0.669134,0.0006523157208088715,3,166
Pikachu ex,Ascended Heroes,Special Illustration Rare,Pikachu,1284.32,311.52,5.74148,7.1579846743832665,1.0,86.6387,0.732774,0.0006523157208088715,3,166
Mew ex,Paldean Fates,Special Illustration Rare,Mew,1063.77,134.2,4.89929,6.9695744811209455,0.833726476444977,80.674,0.5114745187694646,0.002150537634408602,2,901
Mega Charizard X ex,Phantasmal Flames,Special Illustration Rare,Charizard,868.25,351.94,5.86347,6.766479691624183,0.8010299956639813,87.9598,0.6081387685881119,0.0025,4,243
Mega Dragonite ex,Ascended Heroes,Special Illustration Rare,Dragonite,794.44,125.78,4.83454,6.677637463930591,1.0,74.4633,0.4892660000000001,0.0006523157208088715,4,166
Mega Charizard Y ex,Ascended Heroes,Mega Hyper Rare,Charizard,599.79,379.92,5.93995,6.396579593951851,1.0,87.9598,0.759196,0.000925925925925926,2,166
Zekrom ex,Black Bolt,Black White Rare,Zekrom,562.64,23.17,3.14292,6.332639991999763,1.0,54.6198,0.09239599999999996,0.0007142857142857143,4,362
Sylveon ex,Prismatic Evolutions,Special Illustration Rare,Sylveon,558.57,328.76,5.79534,6.325379946376071,1.0,75.5845,0.5116900000000001,0.0006944444444444445,2,544
Team Rocket's Mewtwo ex,Destined Rivals,Special Illustration Rare,Mewtwo,542.28,207.11,5.33327,6.2957824732111884,1.0,70.6367,0.4127340000000001,0.000968054211035818,4,411
Reshiram ex,White Flare,Black White Rare,Reshiram,496.8,40.9,3.71116,6.208187530619269,1.0,60.4651,0.209302,0.0007142857142857143,4,362
Pikachu ex,Ascended Heroes,Special Illustration Rare,Pikachu,429.16,311.52,5.74148,6.061829809768546,1.0,86.6387,0.732774,0.0006523157208088715,3,166
Magikarp,Paldea Evolved,Illustration Rare,Magikarp,426.63,28.61,3.35385,6.055917127052715,0.8374305703689058,62.6204,0.21137417540567469,0.0021141649048625794,1,1132
Team Rocket's Mewtwo ex,Ascended Heroes,Special Illustration Rare,Mewtwo,408.15,100.37,4.60891,6.011634753897365,1.0,70.6367,0.4127340000000001,0.0006523157208088715,2,166
Greninja ex,Twilight Masquerade,Special Illustration Rare,Greninja,401.63,324.38,5.78191,5.995531266782743,0.9867948117136285,75.1085,0.49553875059823294,0.0010626992561105207,3,782
Charizard ex,Scarlet and Violet 151,Special Illustration Rare,Charizard,397.07,195.22,5.27413,5.984112587562356,0.6760912590556813,87.9598,0.5132857795100371,0.0044444444444444444,3,1027
Pikachu ex,Surging Sparks,Special Illustration Rare,Pikachu,359.1,722.97,6.58336,5.883600901232037,0.9911356165197842,86.6387,0.7262784102596684,0.0010416666666666667,4,614
Mega Charizard X ex,Phantasmal Flames,Mega Hyper Rare,Charizard,342.44,936.28,6.84191,5.836096459874285,1.0,87.9598,0.759196,0.0007936507936507937,4,243
Leafeon ex,Prismatic Evolutions,Special Illustration Rare,Leafeon,333.71,148.89,5.00323,5.810272352344586,1.0,64.8421,0.29684200000000005,0.0006944444444444445,2,544
Charizard ex,Paldean Fates,Special Illustration Rare,Charizard,328.15,213.11,5.36179,5.793470820919731,0.833726476444977,87.9598,0.6329618060111207,0.002150537634408602,2,901
Espeon ex,Prismatic Evolutions,Special Illustration Rare,Espeon,320.36,209.78,5.34607,5.769445363455482,1.0,69.4916,0.3898320000000001,0.0006944444444444445,2,544
Vaporeon ex,Prismatic Evolutions,Special Illustration Rare,Vaporeon,310.38,162.72,5.09203,5.7377973532434785,1.0,66.0464,0.3209280000000001,0.0006944444444444445,2,544
Glaceon ex,Prismatic Evolutions,Special Illustration Rare,Glaceon,296.24,151.45,5.02027,5.691169936605357,1.0,65.0731,0.30146199999999995,0.0006944444444444445,2,544
Mega Dragonite ex,Ascended Heroes,Mega Hyper Rare,Dragonite,294.23,135.87,4.91172,5.6843617744165975,1.0,74.4633,0.4892660000000001,0.000925925925925926,4,166
Zekrom ex,Black Bolt,Special Illustration Rare,Zekrom,286.53,56.11,4.0274,5.657843242714756,1.0,54.6198,0.09239599999999996,0.0008928571428571428,4,362
Mega Lucario ex,Mega Evolution,Mega Hyper Rare,Lucario,279.86,267.31,5.58842,5.634289478127568,1.0,75.572,0.51144,0.0003968253968253968,4,292
Cynthia's Garchomp ex,Destined Rivals,Special Illustration Rare,Garchomp,273.55,212.38,5.35837,5.611484420509835,1.0,70.9731,0.41946200000000006,0.000968054211035818,4,411
Seismitoad,Black Bolt,Illustration Rare,Seismitoad,252.19,16.7,2.81566,5.530182771674116,0.9641979261283569,43.3843,0.0,0.0011792452830188679,1,362
Mega Greninja ex,Chaos Rising,special illustration rare,Greninja,243.29,126.74,4.84211,5.49425414742403,0.8477408382450988,75.1085,0.42571001674154135,0.0020161290322580645,4,54
Mega Lucario ex,Mega Evolution,Special Illustration Rare,Lucario,230.92,290.14,5.67037,5.442071330192733,1.0,75.572,0.51144,0.000992063492063492,4,292
Flareon ex,Prismatic Evolutions,Special Illustration Rare,Flareon,226.59,104.81,4.65217,5.423142216993466,1.0,60.0811,0.201622,0.0006944444444444445,2,544
Reshiram ex,White Flare,Special Illustration Rare,Reshiram,221.07,90.57,4.50616,5.398479393447017,1.0,60.4651,0.209302,0.0008928571428571428,4,362
Mega Gardevoir ex,Mega Evolution,Mega Hyper Rare,Gardevoir,217.94,187.28,5.23258,5.38421979554874,1.0,70.8255,0.4165100000000001,0.0003968253968253968,4,292
Jolteon ex,Prismatic Evolutions,Special Illustration Rare,Jolteon,209.14,162.37,5.08989,5.343003884170443,1.0,66.0173,0.32034600000000013,0.0006944444444444445,2,544
Lillie's Clefairy ex,Ascended Heroes,Special Illustration Rare,Clefairy,201.84,38.53,3.65152,5.307475304332803,1.0,57.4096,0.14819199999999996,0.0006523157208088715,2,166
Latias ex,Surging Sparks,Special Illustration Rare,Latias,199.12,75.84,4.32862,5.293907658059337,0.9911356165197842,56.1733,0.12237155002923163,0.0010416666666666667,3,614
Mega Gardevoir ex,Mega Evolution,Special Illustration Rare,Gardevoir,198.47,203.27,5.31454,5.290637955204168,1.0,70.8255,0.4165100000000001,0.000992063492063492,4,292
Ethan's Ho-Oh ex,Destined Rivals,Special Illustration Rare,Ho Oh,192.15,44.39,3.7931,5.258276317010853,1.0,44.8099,0.0,0.000968054211035818,4,411
Eevee ex,Prismatic Evolutions,Special Illustration Rare,Eevee,189.46,501.94,6.21848,5.244177920447388,1.0,81.323,0.6264599999999999,0.0006944444444444445,2,544
Gardevoir ex,Paldean Fates,Special Illustration Rare,Gardevoir,185.57,70.43,4.25458,5.223432169356247,0.833726476444977,70.8255,0.34725541470409743,0.002150537634408602,3,901
Mega Greninja ex,Chaos Rising,mega hyper rare,Greninja,183.28,236.63,5.46648,5.2110150381452405,0.99022894613805,75.1085,0.4972632698821447,0.0010460251046025104,4,54
N's Zoroark ex,Ascended Heroes,Special Illustration Rare,Zoroark,182.08,79.3,4.37325,5.204446150937966,1.0,67.3809,0.3476179999999999,0.0006523157208088715,2,166
Roaring Moon ex,Prismatic Evolutions,Special Illustration Rare,Roaring Moon,180.54,50.61,3.92408,5.195952359870009,1.0,32.3599,0.0,0.0006944444444444445,1,544
Mega Feraligatr ex,Ascended Heroes,Special Illustration Rare,Feraligatr,173.22,42.95,3.76001,5.1545624629028985,1.0,58.9084,0.178168,0.0006523157208088715,2,166
Mega Venusaur ex,Mega Evolution,Special Illustration Rare,Venusaur,158.42,61.88,4.12514,5.065249734036134,1.0,54.5988,0.09197599999999995,0.000992063492063492,3,292
Blastoise ex,Scarlet and Violet 151,Special Illustration Rare,Blastoise,151.34,48.88,3.88947,5.019528961266375,0.6760912590556813,63.7357,0.18573173414022245,0.0044444444444444444,3,1027
Mega Zygarde ex,Perfect Order,Mega Hyper Rare,Zygarde 50,141.87,42.34,3.74568,4.954911145323894,1.0,52.4605,0.049210000000000066,0.0005599104143337066,4,110
Milotic ex,Surging Sparks,Special Illustration Rare,Milotic,136.02,115.56,4.74976,4.912801933747493,0.9911356165197842,61.7857,0.2336245407123444,0.0010416666666666667,3,614
Meowth ex,Perfect Order,Special Illustration Rare,Meowth,134.4,52.47,3.96017,4.900820428089049,0.8437644806073172,59.3884,0.15843196899467468,0.002053388090349076,3,110
Lillie's Clefairy ex,Journey Together,Special Illustration Rare,Clefairy,127.29,70.95,4.26193,4.846467947882343,0.8571648798726166,57.4096,0.12702497787808276,0.0019305019305019305,3,474
Dragapult ex,Prismatic Evolutions,Special Illustration Rare,Dragapult,127.04,134.8,4.90377,4.844501997498826,1.0,63.4932,0.26986400000000005,0.0006944444444444445,2,544
Team Rocket's Moltres ex,Destined Rivals,Special Illustration Rare,Moltres,122.08,45.78,3.82376,4.804676567536147,1.0,38.6771,0.0,0.000968054211035818,3,411
Charizard ex,Obsidian Flames,Special Illustration Rare,Charizard,121.19,202.92,5.31281,4.797359561980396,0.6416506143517748,87.9598,0.48713857981341,0.005208333333333333,4,1069
Bulbasaur,Stellar Crown,Illustration Rare,Bulbasaur,120.58,37.83,3.63314,4.79231343306126,0.6113582355737917,73.7634,0.29055900590468486,0.005988023952095809,1,670
Venusaur ex,Scarlet and Violet 151,Special Illustration Rare,Venusaur,118.42,29.0,3.3672,4.77423762710363,0.6760912590556813,54.5988,0.06218416964290531,0.0044444444444444444,3,1027
Squirtle,Stellar Crown,Illustration Rare,Squirtle,117.88,26.33,3.27067,4.769667157869494,0.6113582355737917,67.2322,0.21070094774109394,0.005988023952095809,1,670
Groudon,Paradox Rift,Illustration Rare,Groudon,117.26,16.99,2.83249,4.764393691536069,0.8227111346745459,54.7049,0.07741547235060546,0.0022624434389140274,1,985
Raichu,Paldea Evolved,Illustration Rare,Raichu,116.34,44.03,3.78478,4.756516938482616,0.8374305703689058,69.1266,0.3203439909443582,0.0021141649048625794,1,1132
Team Rocket's Nidoking ex,Destined Rivals,Special Illustration Rare,Nidoking,112.06,101.23,4.61742,4.719034442137138,1.0,60.6343,0.21268600000000007,0.000968054211035818,3,411
Charmander,Scarlet and Violet 151,Illustration Rare,Charmander,106.32,17.42,2.85787,4.66645341440499,0.63707892463184,61.7106,0.14921152909587249,0.005319148936170213,1,1027
Zapdos ex,Scarlet and Violet 151,Special Illustration Rare,Zapdos,105.09,23.23,3.14533,4.654817125877505,0.6760912590556813,50.7173,0.009699205202412827,0.0044444444444444444,3,1027
Ceruledge ex,Prismatic Evolutions,Special Illustration Rare,Ceruledge,102.86,127.21,4.84586,4.63336884034677,1.0,62.501,0.25001999999999996,0.0006944444444444445,1,544
