set,canonicalKey,ca_v3_public,caRank,D,dRank,H,hRank,P,pRank,contribD,contribH,contribP,legacyCa7,collectorAppealV2,eligibleSubjectCount,eligibleCardCount,coveredDemandShare,slotGroupCount,fOneInN,frequencyStatus
Prismatic Evolutions,prismaticEvolutions,54.262695838818374,1,0.9327753594294003,4,0.19949686,7,0.39877165446569446,3,0.3731101437717601,0.069823901,0.09969291361642361,94.6179,54.2627,19,38,1.0,2,5.01,available
Phantasmal Flames,phantasmalFlames,54.076522553926644,2,0.907445422181492,5,0.2427052,2,0.37136094666667846,5,0.3629781688725968,0.08494681999999999,0.09284023666666961,92.4631,54.0765,14,24,1.0,2,4.12,available
Ascended Heroes,ascendedHeroes,53.16104151237702,3,0.9548088847995184,1,0.23379808,3,0.27143013281585104,15,0.38192355391980737,0.08182932799999999,0.06785753320396276,96.0942,53.161,44,70,1.0,2,4.28,available
Mega Evolution,megaEvolution,52.707637590383904,4,0.8719979471533423,12,0.19036125,8,0.4466030381700088,2,0.34879917886133693,0.0666264375,0.1116507595425022,90.0581,52.7076,15,28,1.0,2,5.25,available
Scarlet and Violet 151,scarletAndViolet151,51.937093692885895,5,0.9361434005159052,3,0.20715561,6,0.28963645288998724,14,0.3744573602063621,0.07250446349999999,0.07240911322249681,94.5391,51.9371,21,35,1.0,2,4.83,available
Pitch Black,pitchBlack,51.346711968252976,6,0.7990284808099914,19,0.23232461,4,0.45016845543413264,1,0.3196113923239966,0.08131361349999999,0.11254211385853316,84.4264,51.3467,11,22,1.0,2,4.3,available
Perfect Order,perfectOrder,50.626762634847246,7,0.8160480150527655,17,0.26590761,1,0.347123027309465,7,0.3264192060211062,0.0930676635,0.08678075682736625,84.7975,50.6268,13,25,1.0,2,3.76,available
Journey Together,journeyTogether,49.867722145668814,8,0.8745984246247558,9,0.21166773,5,0.2990165844271433,11,0.3498393698499023,0.0740837055,0.07475414610678582,89.3347,49.8677,18,27,1.0,2,4.72,available
Paldean Fates,paldeanFates,49.37079748141457,9,0.9533012028197598,2,0.17910906,10,0.19879729074496683,20,0.38132048112790395,0.06268817099999999,0.049699322686241706,95.7943,49.3708,46,52,1.0,2,5.58,available
Surging Sparks,surgingSparks,48.94167649059547,10,0.8885475765300535,7,0.12436211,15,0.3618839831757332,6,0.3554190306120214,0.043526738499999995,0.0904709957939333,90.8714,48.9417,15,28,1.0,2,8.04,available
Destined Rivals,destinedRivals,48.132812302857964,11,0.879280330138304,8,0.14100826,11,0.3210523998930321,10,0.3517121320553216,0.049352890999999996,0.08026309997325802,89.8659,48.1328,18,31,1.0,2,7.09,available
Paradox Rift,paradoxRift,46.95939436103107,12,0.8664578275633004,13,0.13839491,13,0.2982903763399623,12,0.3465831310253202,0.0484382185,0.07457259408499058,88.6375,46.9594,21,37,1.0,2,7.23,available
Twilight Masquerade,twilightMasquerade,45.45712682433118,13,0.8118023950669438,18,0.13839883,12,0.325642878866137,9,0.3247209580267776,0.0484395905,0.08141071971653425,84.2445,45.4571,12,28,1.0,2,7.23,available
Temporal Forces,temporalForces,45.02971176458802,14,0.8603493983071282,15,0.09604865,19,0.2901613232921157,13,0.3441397593228513,0.0336170275,0.07254033082302892,88.061,45.0297,15,19,1.0,2,10.41,available
Stellar Crown,stellarCrown,44.804102606758775,15,0.8635484270757002,14,0.10806764,16,0.2591919249492303,16,0.3454193708302801,0.037823674,0.06479798123730758,88.1232,44.8041,11,15,1.0,2,9.25,available
Obsidian Flames,obsidianFlames,44.73876518623099,16,0.8731505164940832,10,0.1029268,17,0.24841226105870623,17,0.3492602065976333,0.036024379999999995,0.06210306526467656,88.8906,44.7387,12,17,1.0,2,9.72,available
Paldea Evolved,paldeaEvolved,44.65127897435486,17,0.9037416324649468,6,0.09331525,20,0.20942319703027942,19,0.3614966529859787,0.0326603375,0.052355799257569856,91.3821,44.6513,19,27,1.0,2,10.72,available
Chaos Rising,chaosRising,43.56752344642401,18,0.6989468578302965,21,0.1803409,9,0.37190870532848597,4,0.2795787431321186,0.063119315,0.09297717633212149,75.4929,43.5675,10,18,1.0,2,5.55,available
Scarlet and Violet Base Set,scarletAndVioletBase,42.193110577794876,19,0.756023677350837,20,0.10289977,18,0.33402686135045584,8,0.3024094709403348,0.0360149195,0.08350671533761396,79.6771,42.1931,10,17,1.0,2,9.72,available
White Flare,whiteFlare,41.44776251118685,20,0.8730001072963377,11,0.08997307,21,0.1351480307733338,22,0.3492000429185351,0.0314905745,0.03378700769333345,88.1582,41.4478,24,31,1.0,2,11.11,available
Black Bolt,blackBolt,41.40086853374984,21,0.8401381207941817,16,0.12541797,14,0.1362285900793033,21,0.3360552483176727,0.04389628949999999,0.034057147519825824,85.1027,41.4009,19,30,1.0,2,7.97,available
Shrouded Fable,shroudedFable,27.244808337177467,22,0.51074653403283,22,0.02777778,22,0.2337089870345707,18,0.204298613613132,0.009722222999999999,0.05842724675864267,56.7918,27.2448,5,5,1.0,1,36.0,available
