set,canonicalKey,D,H,P,sH,sP,S,D_only_score,D_only_rank,baseline_A_v3_score,baseline_A_v3_rank,baseline_B_ca7_score,baseline_B_ca7_rank,baseline_C_v2_score,baseline_C_v2_rank,cand_D_additive_c2_score,cand_D_additive_c2_rank,cand_D_additive_c2_damp50_score,cand_D_additive_c2_damp50_rank,cand_D_additive_c4_score,cand_D_additive_c4_rank,cand_D_additive_c4_damp50_score,cand_D_additive_c4_damp50_rank,cand_D_additive_c6_score,cand_D_additive_c6_rank,cand_D_additive_c6_damp50_score,cand_D_additive_c6_damp50_rank,cand_D_additive_c8_score,cand_D_additive_c8_rank,cand_D_additive_c8_damp50_score,cand_D_additive_c8_damp50_rank,cand_E_h_dominant_c4_score,cand_E_h_dominant_c4_rank,cand_F_d_plus_h_c4_score,cand_F_d_plus_h_c4_rank,cand_P_only_control_c4_score,cand_P_only_control_c4_rank,cand_G_multiplicative_g4_score,cand_G_multiplicative_g4_rank,cand_G_multiplicative_g8_score,cand_G_multiplicative_g8_rank
Ascended Heroes,ascendedHeroes,0.9548088847995184,0.23379808,0.27143013281585104,0.9517,0.4286,0.7947,95.4809,1,53.161,3,96.0942,1,96.0432,1,96.6598,1,96.6598,1,97.8388,1,97.8388,1,99.0178,1,99.0178,1,100.0,1,100.0,1,98.4665,1,99.0942,1,94.9095,2,97.7323,1,99.9836,1
Paldean Fates,paldeanFates,0.9533012028197598,0.17910906,0.19879729074496683,0.7595,0.247,0.6057,95.3301,2,49.3708,9,95.7943,2,95.7667,2,95.753,2,95.753,2,96.1759,2,96.1759,2,96.5987,3,96.5987,3,97.0216,4,97.0216,4,96.7908,2,97.4058,2,93.3061,4,96.1364,2,96.9426,4
Scarlet and Violet 151,scarletAndViolet151,0.9361434005159052,0.20715561,0.28963645288998724,0.8644,0.4741,0.7473,93.6143,3,51.9371,5,94.5391,4,94.3811,3,94.6036,3,94.6036,3,95.5928,4,95.5928,4,96.582,4,96.582,4,97.5712,3,97.5712,3,96.0611,3,96.5295,3,93.4071,3,95.4664,4,97.3185,3
Prismatic Evolutions,prismaticEvolutions,0.9327753594294003,0.19949686,0.39877165446569446,0.8372,0.7469,0.8101,93.2775,4,54.2627,1,94.6179,3,94.216,4,94.5181,4,94.5181,4,95.7586,3,95.7586,3,96.9991,2,96.9991,2,98.2396,2,98.2396,2,95.8669,4,95.9753,4,95.253,1,95.5918,3,97.9061,2
Phantasmal Flames,phantasmalFlames,0.907445422181492,0.2427052,0.37136094666667846,0.9786,0.6784,0.8886,90.7445,5,54.0765,2,92.4631,5,92.1059,5,92.2988,5,92.2988,5,93.8531,5,93.8531,5,95.4074,5,95.4074,5,96.9616,5,96.9616,5,94.2134,5,94.5736,5,92.1718,5,93.5654,5,96.3862,5
Paldea Evolved,paldeaEvolved,0.9037416324649468,0.09331525,0.20942319703027942,0.2891,0.2736,0.2845,90.3742,6,44.6513,17,91.3821,6,91.0468,6,89.512,6,89.9431,6,88.6498,9,89.512,8,87.7877,10,89.0809,9,86.9255,12,88.6498,10,88.6685,9,88.6872,9,88.5626,8,88.8158,9,87.2574,11
Surging Sparks,surgingSparks,0.8885475765300535,0.12436211,0.3618839831757332,0.4963,0.6547,0.5438,88.8548,7,48.9417,10,90.8714,7,90.0772,7,89.0301,7,89.0301,7,89.2054,8,89.2054,9,89.3807,8,89.3807,8,89.556,8,89.556,8,89.0153,8,88.8252,8,90.0924,7,89.1663,8,89.4779,8
Destined Rivals,destinedRivals,0.879280330138304,0.14100826,0.3210523998930321,0.5869,0.5526,0.5766,87.928,8,48.1328,11,89.8659,9,89.2139,8,88.2346,10,88.2346,10,88.5411,10,88.5411,10,88.8477,9,88.8477,10,89.1542,9,89.1542,9,88.5823,10,88.6234,10,88.3491,9,88.4671,10,89.0062,9
Journey Together,journeyTogether,0.8745984246247558,0.21166773,0.2990165844271433,0.8799,0.4975,0.7652,87.4598,9,49.8677,8,89.3347,10,89.0061,10,88.5207,8,88.5207,8,89.5816,7,89.5816,7,90.6425,7,90.6425,7,91.7033,7,91.7033,7,90.0405,6,90.4993,6,87.4402,10,89.3155,7,91.1712,7
Obsidian Flames,obsidianFlames,0.8731505164940832,0.1029268,0.24841226105870623,0.3598,0.371,0.3632,87.3151,10,44.7388,16,88.8906,11,88.337,11,86.7679,12,87.0415,11,86.2207,12,86.7679,12,85.6735,13,86.4943,12,85.1263,14,86.2207,14,86.2072,12,86.1938,12,86.2833,12,86.3595,12,85.4039,13
White Flare,whiteFlare,0.8730001072963377,0.08997307,0.1351480307733338,0.2628,0.0879,0.2103,87.3,11,41.4478,20,88.1582,13,87.9861,13,86.1413,13,86.7207,13,84.9827,14,86.1413,13,83.824,17,85.562,15,82.6654,17,84.9827,16,85.1926,14,85.4026,15,84.003,15,85.277,14,83.254,17
Mega Evolution,megaEvolution,0.8719979471533423,0.19036125,0.4466030381700088,0.8034,0.8665,0.8223,87.1998,12,52.7076,4,90.0581,8,89.0741,9,88.4891,9,88.4891,9,89.7785,6,89.7785,6,91.0678,6,91.0678,6,92.3572,6,92.3572,6,89.7028,7,89.627,7,90.1319,6,89.4484,6,91.697,6
