set_name,subject_name,subject_demand,demand_share_q_s,printing_count,selected_easiest_card,selected_rarest_card,reachable_access,elite_scarcity,dual_path,contribution,same_card_both_paths,elite_tie_count
Mega Evolution,Lucario,75.572,0.144362,4,Mega Lucario ex #77 (Double Rare),Mega Lucario ex #179 (Special Illustration Rare),0.659379,1.0,0.659379,0.09519,False,2
Mega Evolution,Absol,72.1605,0.125103,3,Mega Absol ex #86 (Double Rare),Mega Absol ex #180 (Special Illustration Rare),0.659379,1.0,0.659379,0.082491,False,1
Mega Evolution,Gardevoir,70.8255,0.117567,4,Mega Gardevoir ex #60 (Double Rare),Mega Gardevoir ex #178 (Special Illustration Rare),0.659379,1.0,0.659379,0.077521,False,2
Mega Evolution,Mawile,69.0039,0.107283,2,Mega Mawile ex #94 (Double Rare),Mega Mawile ex #162 (Ultra Rare),0.659379,0.713256,0.470306,0.050456,False,0
Mega Evolution,Bulbasaur,73.7634,0.134152,1,Bulbasaur #133 (Illustration Rare),Bulbasaur #133 (Illustration Rare),0.347324,0.652676,0.22669,0.030411,True,0
Mega Evolution,Latias,56.1733,0.03485,3,Mega Latias ex #100 (Double Rare),Mega Latias ex #181 (Special Illustration Rare),0.659379,1.0,0.659379,0.02298,False,1
Mega Evolution,Vulpix,66.6074,0.093754,1,Vulpix #138 (Illustration Rare),Vulpix #138 (Illustration Rare),0.347324,0.652676,0.22669,0.021253,True,0
Mega Evolution,Venusaur,54.5988,0.025962,3,Mega Venusaur ex #3 (Double Rare),Mega Venusaur ex #177 (Special Illustration Rare),0.659379,1.0,0.659379,0.017119,False,1
Mega Evolution,Marshadow,61.0792,0.062546,1,Marshadow #146 (Illustration Rare),Marshadow #146 (Illustration Rare),0.347324,0.652676,0.22669,0.014178,True,0
Mega Evolution,Shuckle,61.0013,0.062106,1,Shuckle #136 (Illustration Rare),Shuckle #136 (Illustration Rare),0.347324,0.652676,0.22669,0.014079,True,0
Mega Evolution,Shedinja,58.8085,0.049727,1,Shedinja #144 (Illustration Rare),Shedinja #144 (Illustration Rare),0.347324,0.652676,0.22669,0.011273,True,0
Mega Evolution,Steelix,54.5082,0.02545,1,Steelix #150 (Illustration Rare),Steelix #150 (Illustration Rare),0.347324,0.652676,0.22669,0.005769,True,0
Mega Evolution,Inteleon,51.5156,0.008556,1,Inteleon #142 (Illustration Rare),Inteleon #142 (Illustration Rare),0.347324,0.652676,0.22669,0.00194,True,0
Mega Evolution,Spiritomb,50.9393,0.005303,1,Spiritomb #148 (Illustration Rare),Spiritomb #148 (Illustration Rare),0.347324,0.652676,0.22669,0.001202,True,0
Mega Evolution,Ivysaur,50.5807,0.003278,1,Ivysaur #134 (Illustration Rare),Ivysaur #134 (Illustration Rare),0.347324,0.652676,0.22669,0.000743,True,0
Prismatic Evolutions,Pikachu,86.6387,0.108249,2,Pikachu ex #28 (Double Rare),Pikachu ex #179 (Hyper Rare),0.487347,0.977121,0.476197,0.051548,False,0
Prismatic Evolutions,Eevee,81.323,0.092543,2,Eevee ex #75 (Double Rare),Eevee ex #167 (Special Illustration Rare),0.487347,1.0,0.487347,0.045101,False,1
Prismatic Evolutions,Sylveon,75.5845,0.075589,2,Sylveon ex #41 (Double Rare),Sylveon ex #156 (Special Illustration Rare),0.487347,1.0,0.487347,0.036838,False,1
Prismatic Evolutions,Umbreon,74.8369,0.07338,2,Umbreon ex #60 (Double Rare),Umbreon ex #161 (Special Illustration Rare),0.487347,1.0,0.487347,0.035762,False,1
Prismatic Evolutions,Espeon,69.4916,0.057588,2,Espeon ex #34 (Double Rare),Espeon ex #155 (Special Illustration Rare),0.487347,1.0,0.487347,0.028065,False,1
Prismatic Evolutions,Vaporeon,66.0464,0.047409,2,Vaporeon ex #23 (Double Rare),Vaporeon ex #149 (Special Illustration Rare),0.487347,1.0,0.487347,0.023105,False,1
Prismatic Evolutions,Jolteon,66.0173,0.047323,2,Jolteon ex #30 (Double Rare),Jolteon ex #153 (Special Illustration Rare),0.487347,1.0,0.487347,0.023063,False,1
Prismatic Evolutions,Glaceon,65.0731,0.044533,2,Glaceon ex #26 (Double Rare),Glaceon ex #150 (Special Illustration Rare),0.487347,1.0,0.487347,0.021703,False,1
Prismatic Evolutions,Leafeon,64.8421,0.043851,2,Leafeon ex #6 (Double Rare),Leafeon ex #144 (Special Illustration Rare),0.487347,1.0,0.487347,0.021371,False,1
Prismatic Evolutions,Dragapult,63.4932,0.039865,2,Dragapult ex #73 (Double Rare),Dragapult ex #165 (Special Illustration Rare),0.487347,1.0,0.487347,0.019428,False,1
Prismatic Evolutions,Lucario,75.572,0.075552,1,Lucario ex #51 (Double Rare),Lucario ex #51 (Double Rare),0.487347,0.512653,0.24984,0.018876,True,0
Prismatic Evolutions,Snorlax,74.1993,0.071497,1,Snorlax ex #76 (Double Rare),Snorlax ex #76 (Double Rare),0.487347,0.512653,0.24984,0.017863,True,0
Prismatic Evolutions,Flareon,60.0811,0.029784,2,Flareon ex #14 (Double Rare),Flareon ex #146 (Special Illustration Rare),0.487347,1.0,0.487347,0.014515,False,1
Prismatic Evolutions,Noivern,65.7217,0.04645,1,Noivern ex #91 (Double Rare),Noivern ex #91 (Double Rare),0.487347,0.512653,0.24984,0.011605,True,0
Prismatic Evolutions,Tyranitar,65.5556,0.045959,1,Tyranitar ex #64 (Double Rare),Tyranitar ex #64 (Double Rare),0.487347,0.512653,0.24984,0.011482,True,0
Prismatic Evolutions,Lugia,63.6314,0.040274,1,Lugia ex #82 (Double Rare),Lugia ex #82 (Double Rare),0.487347,0.512653,0.24984,0.010062,True,0
Prismatic Evolutions,Ogerpon,55.8239,0.017207,9,Teal Mask Ogerpon ex #12 (Double Rare),Teal Mask Ogerpon ex #145 (Special Illustration Rare),0.487347,1.0,0.487347,0.008386,False,4
Prismatic Evolutions,Ceruledge,62.501,0.036934,1,Ceruledge ex #147 (Special Illustration Rare),Ceruledge ex #147 (Special Illustration Rare),0.0,1.0,0.0,0.0,True,1
Prismatic Evolutions,Gholdengo,52.0353,0.006013,1,Gholdengo ex #164 (Special Illustration Rare),Gholdengo ex #164 (Special Illustration Rare),0.0,1.0,0.0,0.0,True,1
Chaos Rising,Greninja,75.1085,0.277747,4,Mega Greninja ex #22 (double rare),Mega Greninja ex #122 (mega hyper rare),0.654902,0.990229,0.648503,0.18012,False,0
Chaos Rising,Ampharos,68.8516,0.208534,1,Ampharos #90 (illustration rare),Ampharos #90 (illustration rare),0.493581,0.506419,0.249959,0.052125,True,0
Chaos Rising,Crobat,63.8304,0.15299,1,Crobat #93 (illustration rare),Crobat #93 (illustration rare),0.493581,0.506419,0.249959,0.038241,True,0
Chaos Rising,Gallade,62.9074,0.14278,1,Mega Gallade ex #48 (double rare),Mega Gallade ex #48 (double rare),0.654902,0.345098,0.226005,0.032269,True,0
Chaos Rising,Beedrill,54.9472,0.054725,2,Beedrill ex #3 (double rare),Beedrill ex #98 (ultra rare),0.654902,0.66823,0.437625,0.023949,False,0
