set_name,era,release_date,checklist_size,eligible_card_count,distinct_subject_count,D1,A_star,M1_star,dual_path_depth,complement_gap,axis_position,multi_printing_subject_count,D1_M1_F4_market_chase,excess_chase_appeal,excess_chase_intensity,CA0_desirability_only,CA1_accessible,CA2_chase,CA3_geometric_balance,CA4_linear_75_25,CA4_linear_60_40,CA4_linear_50_50,CA4_linear_40_60,CA4_linear_25_75,CA5_interaction_45_45_10,CA5_interaction_40_40_20,CA5_interaction_35_35_30,CA6_dual_path_utility,profit_score,safety_score,stability_score,top_card_value,top_10_card_value,top_10_avg_value,set_value
Ascended Heroes,Mega Evolution,2026-01-30,295,103,75,0.954809,0.2263112923774342,1.0,0.27143013281585104,0.2263112923774342,0.18454636582420061,18,0.954809,0.123305,0.093609,0.954809,0.21608405876360556,0.954809,0.4542235177355082,0.40076529407270417,0.5115740352581633,0.5854465293818027,0.6593190235054422,0.7701277646909014,0.5485102823199831,0.5115740352581634,0.47463778819634356,0.606986466841885,22.72,19.98,15.26,82.24,5682.75,568.275,7140.09
Paldean Fates,Scarlet and Violet,2024-01-26,245,154,138,0.9533010000000001,0.16798368287220194,0.8346998333065971,0.19879729074496677,0.002683516178799028,0.16753410239791655,5,0.7957201857910124,-0.14338,-0.16966,0.9533010000000001,0.160139012865753,0.7957201857910124,0.35696756865284873,0.31903430609706784,0.4143714820358568,0.4779295993283827,0.5414877166209087,0.6368248925596975,0.4435034401300371,0.4090772809316916,0.37465112173334597,0.5714073280322338,8.08,8.73,6.36,1063.77,1970.45,197.045,2969.6
Scarlet and Violet 151,Scarlet and Violet,2023-09-22,207,46,28,0.936143,0.30975980715502255,0.6791817656787278,0.2896364528899872,-0.011058427166249718,0.3132235671592056,8,0.6358112556677812,0.044845,-0.030872,0.936143,0.28997947514952427,0.6358112556677812,0.4293858570245452,0.3764374202790885,0.4283121873568271,0.4628953654086527,0.4974785434604785,0.549353310538217,0.4363007060620519,0.40970604671545113,0.3831113873688503,0.6036420689588956,22.45,11.67,51.19,397.07,1308.38,130.838,2067.77
Prismatic Evolutions,Scarlet and Violet,2025-01-17,180,56,33,0.932775,0.30207914158196836,0.9885606273598312,0.39877165446569446,0.29063976894179966,0.23405379940341073,12,0.9221046391855665,0.264429,0.230594,0.932775,0.28177187128912057,0.9221046391855665,0.5097285058810194,0.4418550632632321,0.5379049784476989,0.6019382552373436,0.6659715320269881,0.762021447211455,0.5695992874990019,0.5372603197606602,0.5049213520223185,0.6523696149971191,18.05,11.55,9.58,1511.45,4136.44,413.644,5245.28
Phantasmal Flames,Mega Evolution,2025-11-14,130,36,23,0.9074450000000001,0.3874310633473565,0.7093743863369506,0.37136094666667857,0.09680544968430715,0.35323590292049567,6,0.6437182400095341,0.136723,0.059025,0.9074450000000001,0.35157238127924195,0.6437182400095341,0.475724242090977,0.424608845961815,0.4684307247713589,0.4976453106443881,0.5268598965174173,0.5706817753269612,0.4728204238022475,0.447995536960107,0.4231706501179664,0.6222173171239721,10.3,14.63,1.78,868.25,1367.41,136.741,1436.84
Paldea Evolved,Scarlet and Violet,2023-06-09,279,85,55,0.903742,0.18849708897679188,0.6920707064750117,0.20942319703027942,-0.11943220454819647,0.2140631192173879,6,0.6254533644111401,-0.156665,-0.167536,0.903742,0.17035273618606386,0.6254533644111401,0.32641643951280547,0.2841278932423329,0.3523929874760944,0.39790305029860196,0.44341311312110954,0.511678207354871,0.3699023591169658,0.34190166793532967,0.3139009767536935,0.5465032694652694,14.78,10.52,39.4,426.63,1087.37,108.737,2104.86
Surging Sparks,Scarlet and Violet,2024-11-08,252,64,40,0.888548,0.30640283298169557,0.8032113391915598,0.3618839831757332,0.10961417217325531,0.2761345706152839,7,0.7136918290159822,0.019238,0.012721,0.888548,0.27225362444021967,0.7136918290159822,0.4408006206699018,0.3826131755841603,0.44882890627052463,0.49297272672810083,0.5371165471856771,0.6033322778720415,0.4655431738839293,0.4381136210397577,0.41068406819558606,0.6050496447414158,16.3,17.51,36.96,359.1,1002.65,100.265,1362.38
Destined Rivals,Scarlet and Violet,2025-05-30,244,66,40,0.87928,0.2669853739762315,0.9444044795918076,0.3210523998930321,0.2113898535680392,0.22039591399073571,6,0.8303959708154846,0.122803,0.146419,0.87928,0.23475489962982082,0.8303959708154846,0.441519561040954,0.38366516742623674,0.4730113281040863,0.5325754352226527,0.592139542341219,0.6814857030190686,0.5014882495820402,0.4704010639414278,0.43931387830081525,0.5807874770889726,20.06,18.47,33.48,542.28,1534.15,153.415,2088.85
Journey Together,Scarlet and Violet,2025-03-28,190,43,26,0.874598,0.3502158625743175,0.5304838124906999,0.2990165844271434,-0.11930032493498266,0.3976564003483514,5,0.4639600814367411,-0.106006,-0.163143,0.874598,0.30629809297577293,0.4639600814367411,0.3769749171509401,0.345713590091015,0.36936288836016024,0.385129087206257,0.40089528605235386,0.42454458432149905,0.3628647964976732,0.3406005057890895,0.3183362150805055,0.5680586533534054,22.79,29.88,59.82,127.29,421.53,42.153,546.24
Obsidian Flames,Scarlet and Violet,2023-08-11,230,46,33,0.87315,0.31434248879364207,0.6247212727882754,0.24841226105870634,-0.06093623841808249,0.33474030375116437,3,0.5454753793350826,-0.028205,-0.085332,0.87315,0.27446814409016856,0.5454753793350826,0.386931021001135,0.34221995290139706,0.38287103818813417,0.4099717617126256,0.43707248523711695,0.4777235705238541,0.3861211943729476,0.3622706270332697,0.33842005969359173,0.5450255828717047,13.77,14.61,49.59,121.19,369.55,36.955,507.89
