scenario,collector_appeal_is_second_largest,max_abs_rank_delta,mean_abs_rank_delta,median_rank_delta,max_abs_score_delta,spearman_vs_current_rip,pct_moving_1_plus,pct_moving_3_plus,pct_moving_5_plus,score_spread
CA0_desirability_only@10%,False,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.6923
CA0_desirability_only@15%,False,3,0.667,0.0,4.367,0.9857,52.4,4.8,0.0,4.3257
CA0_desirability_only@20%,True,6,1.048,0.0,8.733,0.961,66.7,9.5,4.8,4.0327
CA0_desirability_only@25%,True,7,1.524,0.0,13.1,0.9286,71.4,14.3,9.5,3.8301
CA0_desirability_only@30%,True,9,2.286,1.0,17.467,0.8455,76.2,42.9,9.5,3.7329
CA1_accessible@10%,False,3,0.667,0.0,7.957,0.9805,38.1,9.5,0.0,5.2246
CA1_accessible@15%,False,4,0.857,0.0,8.465,0.9727,47.6,9.5,0.0,5.0855
CA1_accessible@20%,True,4,1.048,0.0,8.971,0.9714,66.7,4.8,0.0,4.9775
CA1_accessible@25%,True,5,1.143,0.0,9.478,0.9597,61.9,14.3,4.8,4.9026
CA1_accessible@30%,True,5,1.619,0.0,9.986,0.9364,71.4,28.6,4.8,4.8623
CA2_chase@10%,False,5,1.619,1.0,4.408,0.9455,81.0,14.3,4.8,4.3782
CA2_chase@15%,False,7,2.952,1.0,3.945,0.8299,95.2,52.4,14.3,4.0324
CA2_chase@20%,True,11,3.905,0.0,7.567,0.6714,85.7,57.1,38.1,3.9272
CA2_chase@25%,True,13,5.333,1.0,11.403,0.4364,100.0,66.7,52.4,4.0813
CA2_chase@30%,True,14,5.905,-1.0,15.24,0.2896,100.0,66.7,57.1,4.4681
CA3_geometric_balance@10%,False,3,0.857,0.0,6.18,0.9779,52.4,4.8,0.0,4.9802
CA3_geometric_balance@15%,False,3,0.667,0.0,5.798,0.9818,38.1,4.8,0.0,4.731
CA3_geometric_balance@20%,True,2,0.762,0.0,5.416,0.9818,47.6,0.0,0.0,4.5259
CA3_geometric_balance@25%,True,4,1.048,0.0,5.035,0.9623,52.4,14.3,0.0,4.3709
CA3_geometric_balance@30%,True,5,1.524,0.0,4.653,0.9299,61.9,23.8,9.5,4.2716
CA4_linear_75_25@10%,False,3,0.762,0.0,6.343,0.9818,52.4,4.8,0.0,4.9525
CA4_linear_75_25@15%,False,3,0.857,0.0,5.631,0.9805,61.9,4.8,0.0,4.6695
CA4_linear_75_25@20%,True,2,0.571,0.0,5.149,0.987,38.1,0.0,0.0,4.4148
