predictor,outcome,spearman,pearson_log
D1,top_card_value,0.4662,0.451
A_star,top_card_value,-0.1468,-0.2291
M1_star,top_card_value,0.4118,0.4848
D1_M1_F4_market_chase,top_card_value,0.5519,0.5619
dual_path_depth,top_card_value,0.039,-0.003
complement_gap,top_card_value,0.3455,0.4185
axis_position,top_card_value,-0.3688,-0.3999
CA0_desirability_only,top_card_value,0.4662,0.451
CA1_accessible,top_card_value,0.0325,-0.0685
CA2_chase,top_card_value,0.5519,0.5619
CA3_geometric_balance,top_card_value,0.1805,0.2585
CA4_linear_75_25,top_card_value,0.2221,0.3217
CA4_linear_60_40,top_card_value,0.4143,0.4833
CA4_linear_50_50,top_card_value,0.5104,0.532
CA4_linear_40_60,top_card_value,0.561,0.5539
CA4_linear_25_75,top_card_value,0.5195,0.5641
CA5_interaction_45_45_10,top_card_value,0.4844,0.52
CA5_interaction_40_40_20,top_card_value,0.4649,0.5051
CA5_interaction_35_35_30,top_card_value,0.3948,0.4866
CA6_dual_path_utility,top_card_value,0.3091,0.3956
profit_score,top_card_value,-0.5762,-0.6088
safety_score,top_card_value,-0.4558,-0.4625
stability_score,top_card_value,-0.7065,-0.7029
checklist_size,top_card_value,-0.1273,-0.0666
eligible_card_count,top_card_value,0.3113,0.3263
distinct_subject_count,top_card_value,0.2646,0.3486
D1,top_3_card_value,0.5922,0.5355
A_star,top_3_card_value,-0.3532,-0.3617
M1_star,top_3_card_value,0.7502,0.7495
D1_M1_F4_market_chase,top_3_card_value,0.8299,0.8297
dual_path_depth,top_3_card_value,-0.0052,-0.0658
complement_gap,top_3_card_value,0.5948,0.6423
axis_position,top_3_card_value,-0.5805,-0.5783
CA0_desirability_only,top_3_card_value,0.5922,0.5355
CA1_accessible,top_3_card_value,-0.1506,-0.1738
CA2_chase,top_3_card_value,0.8299,0.8297
CA3_geometric_balance,top_3_card_value,0.3195,0.3306
CA4_linear_75_25,top_3_card_value,0.3364,0.4099
CA4_linear_60_40,top_3_card_value,0.6455,0.669
CA4_linear_50_50,top_3_card_value,0.7571,0.7536
CA4_linear_40_60,top_3_card_value,0.8156,0.7962
CA4_linear_25_75,top_3_card_value,0.8117,0.8221
CA5_interaction_45_45_10,top_3_card_value,0.7312,0.7342
CA5_interaction_40_40_20,top_3_card_value,0.7091,0.7103
CA5_interaction_35_35_30,top_3_card_value,0.6338,0.681
CA6_dual_path_utility,top_3_card_value,0.4597,0.4401
profit_score,top_3_card_value,-0.3741,-0.391
safety_score,top_3_card_value,-0.2831,-0.3347
stability_score,top_3_card_value,-0.8156,-0.839
checklist_size,top_3_card_value,0.0091,0.1447
eligible_card_count,top_3_card_value,0.5297,0.5192
distinct_subject_count,top_3_card_value,0.4668,0.5129
D1,top_3_avg_value,0.5922,0.5355
A_star,top_3_avg_value,-0.3532,-0.3617
M1_star,top_3_avg_value,0.7502,0.7495
D1_M1_F4_market_chase,top_3_avg_value,0.8299,0.8297
dual_path_depth,top_3_avg_value,-0.0052,-0.0658
complement_gap,top_3_avg_value,0.5948,0.6423
axis_position,top_3_avg_value,-0.5805,-0.5783
CA0_desirability_only,top_3_avg_value,0.5922,0.5355
CA1_accessible,top_3_avg_value,-0.1506,-0.1738
CA2_chase,top_3_avg_value,0.8299,0.8297
CA3_geometric_balance,top_3_avg_value,0.3195,0.3306
CA4_linear_75_25,top_3_avg_value,0.3364,0.4099
CA4_linear_60_40,top_3_avg_value,0.6455,0.669
CA4_linear_50_50,top_3_avg_value,0.7571,0.7536
CA4_linear_40_60,top_3_avg_value,0.8156,0.7962
CA4_linear_25_75,top_3_avg_value,0.8117,0.8221
CA5_interaction_45_45_10,top_3_avg_value,0.7312,0.7342
CA5_interaction_40_40_20,top_3_avg_value,0.7091,0.7103
CA5_interaction_35_35_30,top_3_avg_value,0.6338,0.681
CA6_dual_path_utility,top_3_avg_value,0.4597,0.4401
profit_score,top_3_avg_value,-0.3741,-0.391
safety_score,top_3_avg_value,-0.2831,-0.3347
stability_score,top_3_avg_value,-0.8156,-0.839
checklist_size,top_3_avg_value,0.0091,0.1447
eligible_card_count,top_3_avg_value,0.5297,0.5192
distinct_subject_count,top_3_avg_value,0.4668,0.5129
D1,top_10_card_value,0.5506,0.5045
A_star,top_10_card_value,-0.4519,-0.3984
M1_star,top_10_card_value,0.8107,0.7973
D1_M1_F4_market_chase,top_10_card_value,0.8649,0.8609
dual_path_depth,top_10_card_value,-0.0519,-0.0586
complement_gap,top_10_card_value,0.6143,0.6745
axis_position,top_10_card_value,-0.6896,-0.6228
CA0_desirability_only,top_10_card_value,0.5506,0.5045
CA1_accessible,top_10_card_value,-0.261,-0.2136
CA2_chase,top_10_card_value,0.8649,0.8609
CA3_geometric_balance,top_10_card_value,0.2935,0.3328
CA4_linear_75_25,top_10_card_value,0.2753,0.3955
CA4_linear_60_40,top_10_card_value,0.6429,0.6738
CA4_linear_50_50,top_10_card_value,0.7753,0.7675
CA4_linear_40_60,top_10_card_value,0.8377,0.8162
CA4_linear_25_75,top_10_card_value,0.8545,0.8481
CA5_interaction_45_45_10,top_10_card_value,0.7455,0.7481
CA5_interaction_40_40_20,top_10_card_value,0.7234,0.7241
CA5_interaction_35_35_30,top_10_card_value,0.6416,0.6946
CA6_dual_path_utility,top_10_card_value,0.4195,0.4206
profit_score,top_10_card_value,-0.3469,-0.2968
safety_score,top_10_card_value,-0.374,-0.3755
stability_score,top_10_card_value,-0.7195,-0.7317
checklist_size,top_10_card_value,0.0597,0.202
eligible_card_count,top_10_card_value,0.5934,0.5266
distinct_subject_count,top_10_card_value,0.5351,0.4974
D1,top_10_avg_value,0.5506,0.5045
A_star,top_10_avg_value,-0.4519,-0.3984
