era,treatment,n,min,p25,median,p75,max,iqr,ratioMaxMin
Mega Evolution,__UNMAPPED__,4,0.01054,0.01054825,0.0105755,0.01063825,0.010753,8.99999999999998e-05,1.0202087286527515
Mega Evolution,common,623,0.010361,0.022304,0.04676,0.08751600000000001,0.110076,0.065212,10.624071035614321
Mega Evolution,double_rare,88,0.00496,0.00511175,0.019789,0.02005025,0.02248,0.014938499999999999,4.532258064516129
Mega Evolution,illustration_rare,101,0.00313,0.003293,0.005096,0.010015,0.010401,0.006722,3.3230031948881793
Mega Evolution,mega_attack_rare,7,0.004991,0.0050925,0.005148,0.005188,0.005244,9.55000000000001e-05,1.0506912442396314
Mega Evolution,mega_hyper_rare,8,0.000409,0.00050425,0.000816,0.0009435,0.001123,0.00043924999999999997,2.745721271393643
Mega Evolution,rare,160,0.010153,0.02086675,0.026948,0.059881500000000004,0.072432,0.03901475,7.134049049542006
Mega Evolution,special_illustration_rare,55,0.000729,0.000785,0.000985,0.002054,0.002581,0.0012689999999999997,3.540466392318244
Mega Evolution,ultra_rare,107,0.003251,0.0037685,0.004522,0.004625499999999999,0.004998,0.0008569999999999993,1.5373731159643187
Mega Evolution,uncommon,434,0.010355,0.015708,0.034755,0.06859625,0.120585,0.05288825,11.645098985997103
Scarlet and Violet,__UNMAPPED__,1,0.009501,0.009501,0.009501,0.009501,0.009501,0.0,1.0
Scarlet and Violet,ace_spec_rare,33,0.006062,0.006848,0.008023,0.0125,0.019084,0.005652000000000001,3.148135928736391
Scarlet and Violet,black_white_rare,2,0.000672,0.0006807499999999999,0.0006895,0.00069825,0.000707,1.7500000000000046e-05,1.0520833333333333
Scarlet and Violet,common,2426,0.000626,0.011452750000000001,0.0193215,0.0482995,0.139355,0.03684675,222.61182108626198
Scarlet and Violet,double_rare,230,0.006199,0.008181,0.01085,0.01185775,0.027686,0.0036767499999999995,4.466204226488143
Scarlet and Violet,hyper_rare,74,0.000866,0.00113275,0.0017495,0.002501,0.006675,0.0013682500000000001,7.7078521939953815
Scarlet and Violet,illustration_rare,391,0.001164,0.0012785000000000001,0.002292,0.003635,0.023904,0.0023565,20.536082474226802
Scarlet and Violet,rare,620,0.000685,0.010814250000000001,0.0161865,0.037931,0.109735,0.02711675,160.19708029197082
Scarlet and Violet,shiny_rare,120,0.001917,0.0020215,0.0020525,0.0020825,0.002136,6.100000000000029e-05,1.114241001564945
Scarlet and Violet,shiny_ultra_rare,12,0.006205,0.00624475,0.006292,0.00632375,0.006434,7.900000000000008e-05,1.0369057211925867
Scarlet and Violet,special_illustration_rare,167,0.000775,0.0009760000000000001,0.00118,0.0020829999999999998,0.005311,0.0011069999999999997,6.852903225806451
Scarlet and Violet,ultra_rare,251,0.002222,0.00277,0.003141,0.003737,0.01261,0.000967,5.675067506750675
Scarlet and Violet,uncommon,1706,0.000647,0.01145225,0.019284500000000003,0.04905125,0.143305,0.037598999999999994,221.49149922720244
