rarity,n,min,p25,median,p75,max,iqr,ratioMaxMin
ACE SPEC Rare,33,0.006062,0.006848,0.008023,0.0125,0.019084,0.005652000000000001,3.148135928736391
Black White Rare,2,0.000672,0.0006807499999999999,0.0006895,0.00069825,0.000707,1.7500000000000046e-05,1.0520833333333333
Common,3036,0.000626,0.0116295,0.0240785,0.0485735,0.11311,0.036944,180.68690095846645
Double Rare,317,0.00496,0.006741,0.01105,0.012515,0.027686,0.0057740000000000005,5.581854838709678
Hyper Rare,74,0.000866,0.00113275,0.0017495,0.002501,0.006675,0.0013682500000000001,7.7078521939953815
Illustration Rare,492,0.001164,0.0013077499999999999,0.0032585,0.0050775,0.023904,0.0037697500000000005,20.536082474226802
MEGA_ATTACK_RARE,7,0.004991,0.0050925,0.005148,0.005188,0.005244,9.55000000000001e-05,1.0506912442396314
Mega Hyper Rare,8,0.000409,0.00050425,0.000816,0.0009435,0.001123,0.00043924999999999997,2.745721271393643
Rare,774,0.000685,0.01120725,0.0210655,0.04112675,0.109735,0.029919499999999995,160.19708029197082
Shiny Rare,120,0.001917,0.0020215,0.0020525,0.0020825,0.002136,6.100000000000029e-05,1.114241001564945
Shiny Ultra Rare,12,0.006205,0.00624475,0.006292,0.00632375,0.006434,7.900000000000008e-05,1.0369057211925867
Special Illustration Rare,222,0.000729,0.00092675,0.001149,0.002062,0.005311,0.00113525,7.2853223593964325
Ultra Rare,356,0.002222,0.0028952500000000003,0.0036699999999999997,0.00462125,0.01261,0.001726,5.675067506750675
Uncommon,2137,0.000647,0.011587,0.024036,0.049688,0.143305,0.038101,221.49149922720244
__UNMAPPED__,5,0.009501,0.01054,0.010551,0.0106,0.010753,5.999999999999929e-05,1.1317756025681507
common,13,0.004024,0.029451,0.099212,0.138216,0.139355,0.108765,34.63096421471173
double rare,1,0.006398,0.006398,0.006398,0.006398,0.006398,0.0,1.0
rare,6,0.000696,0.0054512499999999995,0.014218999999999999,0.0328335,0.048793,0.027382250000000004,70.10488505747126
ultra rare,2,0.00287,0.0028987500000000003,0.0029275,0.0029562499999999997,0.002985,5.749999999999939e-05,1.0400696864111496
uncommon,3,0.003958,0.0116885,0.019419,0.0565105,0.093602,0.044822,23.64881253158161
