treatment,n,min,p25,median,p75,max,iqr,ratioMaxMin
__UNMAPPED__,5,0.009501,0.01054,0.010551,0.0106,0.010753,5.999999999999929e-05,1.1317756025681507
ace_spec_rare,33,0.006062,0.006848,0.008023,0.0125,0.019084,0.005652000000000001,3.148135928736391
black_white_rare,2,0.000672,0.0006807499999999999,0.0006895,0.00069825,0.000707,1.7500000000000046e-05,1.0520833333333333
common,3049,0.000626,0.011632,0.024113,0.048593,0.139355,0.036960999999999994,222.61182108626198
double_rare,318,0.00496,0.00673575,0.0110425,0.01250475,0.027686,0.005769,5.581854838709678
hyper_rare,74,0.000866,0.00113275,0.0017495,0.002501,0.006675,0.0013682500000000001,7.7078521939953815
illustration_rare,492,0.001164,0.0013077499999999999,0.0032585,0.0050775,0.023904,0.0037697500000000005,20.536082474226802
mega_attack_rare,7,0.004991,0.0050925,0.005148,0.005188,0.005244,9.55000000000001e-05,1.0506912442396314
mega_hyper_rare,8,0.000409,0.00050425,0.000816,0.0009435,0.001123,0.00043924999999999997,2.745721271393643
rare,780,0.000685,0.01118725,0.020957,0.04112625,0.109735,0.029939000000000004,160.19708029197082
shiny_rare,120,0.001917,0.0020215,0.0020525,0.0020825,0.002136,6.100000000000029e-05,1.114241001564945
shiny_ultra_rare,12,0.006205,0.00624475,0.006292,0.00632375,0.006434,7.900000000000008e-05,1.0369057211925867
special_illustration_rare,222,0.000729,0.00092675,0.001149,0.002062,0.005311,0.00113525,7.2853223593964325
ultra_rare,358,0.002222,0.00289375,0.0036674999999999998,0.0046155,0.01261,0.0017217499999999998,5.675067506750675
uncommon,2140,0.000647,0.0115865,0.024031999999999998,0.05053375,0.143305,0.03894725,221.49149922720244
